,ticker,2023,2024,2025,2026
Revenue(In $M),BIG,"5,476","5,142","5,186","5,788"
Dividend,BIG,1.20,-,-,1.32
Dividend Yield (in %),BIG,8.88 %,8.01 %,8.15 %,9.76 %
EPS,BIG,-6.53,-4.62,-2.37,5.40
P/E Ratio,BIG,-1.31,-1.85,-3.61,1.59
EBIT(In $M),BIG,-244,-155,-73,219
EBITDA(In $M),BIG,-85,-4,78,387
Net Profit(In $M),BIG,-192,-137,-74,156
Net Profit Adjusted(In $M),BIG,-192,-137,-74,156
Pre-Tax Profit(In $M),BIG,-262,-181,-99,206
Net Profit (Adjusted)(In $M),BIG,-275,-184,-111,-
EPS (Non-GAAP) ex. SOE(In $),BIG,-6.53,-4.62,-2.37,5.40
EPS (GAAP)(In $),BIG,-6.86,-4.73,-3.32,-
Gross Income(In $M),BIG,"1,901","1,974","2,004",-
Cash Flow from Investing(In $M),BIG,-113,-84,-100,-
Cash Flow from Operations(In $M),BIG,-64,111,2,-
Cash Flow from Financing(In $M),BIG,419,-20,64,-
Cash Flow per Share(In $),BIG,-2.58,3.14,3.80,-
Free Cash Flow(In $M),BIG,-215,35,-36,-
Free Cash Flow per Share(In $),BIG,-,-,-,-
Book Value per Share(In $),BIG,26.92,20.05,17.24,-
Net Debt(In $M),BIG,806,"1,168","1,481","1,757"
Research & Development Exp.(In $M),BIG,-,-,-,-
Capital Expenditure(In $M),BIG,149,100,142,-
"Selling, General & Admin. Exp.(In $M)",BIG,"2,019","1,982","1,944",-
Shareholder’s Equity(In $M),BIG,788,599,448,-
Total Assets(In $M),BIG,"3,991","3,538","3,540",-
