,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CSCO,"56,540","59,002","60,780","64,012","67,212"
Dividend,CSCO,1.54,1.57,1.61,-,-
Dividend Yield (in %),CSCO,3.14 %,3.21 %,3.29 %,-,-
EPS,CSCO,3.75,4.03,4.23,-,-
P/E Ratio,CSCO,12.20,11.35,10.83,-,-
EBIT(In $M),CSCO,"18,721","19,911","20,574",-,-
EBITDA(In $M),CSCO,"20,210","21,340","21,828",-,-
Net Profit(In $M),CSCO,"15,423","16,462","17,230",-,-
Net Profit Adjusted(In $M),CSCO,"15,423","16,462","17,230",-,-
Pre-Tax Profit(In $M),CSCO,"19,047","20,348","21,474",-,-
Net Profit (Adjusted)(In $M),CSCO,"15,480","17,902","18,712",-,-
EPS (Non-GAAP) ex. SOE(In $),CSCO,3.19,3.38,-,-,-
EPS (GAAP)(In $),CSCO,2.94,3.26,3.56,-,-
Gross Income(In $M),CSCO,"36,034","37,951","38,697",-,-
Cash Flow from Investing(In $M),CSCO,"-2,154","-2,396","-2,394",-,-
Cash Flow from Operations(In $M),CSCO,"16,418","18,538","18,810",-,-
Cash Flow from Financing(In $M),CSCO,"-8,841","-8,066","-9,339",-,-
Cash Flow per Share(In $),CSCO,3.92,4.32,4.54,-,-
Free Cash Flow(In $M),CSCO,"15,426","17,520","17,832","18,563","19,492"
Free Cash Flow per Share(In $),CSCO,3.90,4.60,4.13,-,-
Book Value per Share(In $),CSCO,10.92,12.74,14.72,-,-
Net Debt(In $M),CSCO,"-14,061","-21,767","-30,109",-,-
Research & Development Exp.(In $M),CSCO,"6,257","6,509","6,666",-,-
Capital Expenditure(In $M),CSCO,722,801,913,-,-
"Selling, General & Admin. Exp.(In $M)",CSCO,"11,183","11,807","12,371",-,-
Shareholder’s Equity(In $M),CSCO,"45,310","53,025","58,617",-,-
Total Assets(In $M),CSCO,"101,487","109,796","116,071",-,-
