,ticker,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Total revenue(figures in $M),DLTR,28331.7,28331.7,26321.2,25509.3,23610.8
Cost of revenue(figures in $M),DLTR,19396.3,19396.3,18583.9,17721.0,16570.1
Gross profit(figures in $M),DLTR,8935.4,8935.4,7737.3,7788.3,7040.7
Selling general and administrative(figures in $M),DLTR,6699.1,6699.1,5925.9,5900.4,5465.5
Total operating expenses(figures in $M),DLTR,6699.1,6699.1,5925.9,5900.4,5465.5
Operating income or loss(figures in $M),DLTR,2236.3,2236.3,1811.4,1887.9,1575.2
Interest expense(figures in $M),DLTR,125.3,125.3,178.9,147.3,162.1
Total other income/expenses net(figures in $M),DLTR,-0.4,-0.4,-0.3,-0.8,-314.4
Income before tax(figures in $M),DLTR,2110.6,2110.6,1632.2,1739.8,1098.7
Income tax expense(figures in $M),DLTR,495.2,495.2,304.3,397.9,271.7
Income from continuing operations(figures in $M),DLTR,1615.4,1615.4,1327.9,1341.9,827.0
Net income(figures in $M),DLTR,1615.4,1615.4,1327.9,1341.9,827.0
Net income available to common shareholders(figures in $M),DLTR,1615.4,1615.4,1327.9,1341.9,827.0
Basic EPS(figures in $M),DLTR,,7.24e-06,5.83e-06,5.68e-06,3.49e-06
Diluted EPS(figures in $M),DLTR,,7.21e-06,5.7999999999999995e-06,5.65e-06,3.4700000000000002e-06
Basic average shares(figures in $M),DLTR,,223.2,227.9,236.4,237.2
Diluted average shares(figures in $M),DLTR,,224.1,229.0,237.3,238.3
EBITDA(figures in $M),DLTR,,3003.8,2527.1,2573.7,1906.2
