,ticker,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Cash and cash equivalents(figures in $M),LRCX,3522.001,4418.263,4915.172,3658.219
Other short-term investments(figures in $M),LRCX,135.731,1310.872,1795.08,1772.984
Total cash(figures in $M),LRCX,3657.732,5729.135,6710.252,5431.203
Net receivables(figures in $M),LRCX,4313.818,3026.43,2097.099,1455.522
Inventory(figures in $M),LRCX,3966.294,2689.294,1900.024,1540.14
Other current assets(figures in $M),LRCX,347.391,207.528,146.16,133.544
Total current assets(figures in $M),LRCX,12285.235,11652.387,10853.535,8560.409
"Gross property, plant and equipment(figures in $M)",LRCX,3087.912,2574.835,2154.326,2022.759
Accumulated depreciation(figures in $M),LRCX,-1440.325,-1271.356,-1082.827,-963.682
"Net property, plant and equipment(figures in $M)",LRCX,1647.587,1303.479,1071.499,1059.077
Goodwill(figures in $M),LRCX,1515.113,1622.499,1652.968,1701.547
Intangible assets(figures in $M),LRCX,101.85,132.365,168.532,216.95
Other long-term assets(figures in $M),LRCX,1645.847,1313.787,981.045,680.3
Total non-current assets(figures in $M),LRCX,4910.397,4239.765,3705.512,3440.924
Total assets(figures in $M),LRCX,17195.632,15892.152,14559.047,12001.333
Current debt(figures in $M),LRCX,7.381,11.349,839.877,667.131
Accounts payable(figures in $M),LRCX,1011.208,829.71,592.387,376.561
Accrued liabilities(figures in $M),LRCX,0.0,456.891,369.634,273.825
Deferred revenues(figures in $M),LRCX,1571.898,967.325,457.523,381.317
Other current liabilities(figures in $M),LRCX,4557.378,3516.518,2322.565,1704.519
Total current liabilities(figures in $M),LRCX,4564.759,3527.867,3162.442,2371.65
Long-term debt(figures in $M),LRCX,4998.449,4990.333,4970.848,3822.768
Other long-term liabilities(figures in $M),LRCX,422.941,398.727,332.559,190.821
Total non-current liabilities(figures in $M),LRCX,6352.507,6337.097,6213.116,4906.379
Total liabilities(figures in $M),LRCX,10917.266,9864.964,9375.558,7278.029
Common stock(figures in $M),LRCX,0.137,0.143,0.145,0.144
Retained earnings(figures in $M),LRCX,18454.724,14684.912,11520.591,9930.919
Accumulated other comprehensive income(figures in $M),LRCX,-109.982,-64.128,-94.211,-64.03
Total stockholders' equity(figures in $M),LRCX,6278.366,6027.188,5183.489,4723.304
Total liabilities and stockholders' equity(figures in $M),LRCX,17195.632,15892.152,14559.047,12001.333
