,ticker,2023,2024,2025,2026
Revenue(In $M),LRCX,"17,367","14,204","16,757","17,573"
Dividend,LRCX,6.66,7.27,7.51,7.86
Dividend Yield (in %),LRCX,1.34 %,1.33 %,1.50 %,-
EPS,LRCX,-,-,-,36.36
P/E Ratio,LRCX,15.94,20.83,15.81,14.10
EBIT(In $M),LRCX,"5,261","4,001","5,149","5,510"
EBITDA(In $M),LRCX,"5,549","4,444","5,536","5,876"
Net Profit(In $M),LRCX,"4,390","3,375","4,396","4,426"
Net Profit Adjusted(In $M),LRCX,"4,502","3,419","4,452","4,426"
Pre-Tax Profit(In $M),LRCX,"5,141","3,926","5,078","5,398"
Net Profit (Adjusted)(In $M),LRCX,"5,093","4,176","5,143",-
EPS (Non-GAAP) ex. SOE(In $),LRCX,-,-,-,36.36
EPS (GAAP)(In $),LRCX,32.21,25.21,34.29,36.17
Gross Income(In $M),LRCX,"7,819","6,453","7,729",-
Cash Flow from Investing(In $M),LRCX,-560,-475,-569,"-1,674"
Cash Flow from Operations(In $M),LRCX,"5,961","3,830","4,641","5,776"
Cash Flow from Financing(In $M),LRCX,"-2,799","-2,814","-2,944",-
Cash Flow per Share(In $),LRCX,42.07,26.51,38.12,41.18
Free Cash Flow(In $M),LRCX,"5,697","2,984","4,040","4,172"
Free Cash Flow per Share(In $),LRCX,45.11,18.15,30.30,-
Book Value per Share(In $),LRCX,59.60,57.58,79.49,82.20
Net Debt(In $M),LRCX,"-1,591","-1,478","-2,412","-1,659"
Research & Development Exp.(In $M),LRCX,"1,730","1,671","1,801",-
Capital Expenditure(In $M),LRCX,531,441,520,520
"Selling, General & Admin. Exp.(In $M)",LRCX,811,735,827,-
Shareholder’s Equity(In $M),LRCX,"8,142","8,950","10,685","10,754"
Total Assets(In $M),LRCX,"18,380","19,713","22,288",-
