,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),LRCX,19047.66,17227.039,14626.15,10044.736,9653.559
Cost of revenue(figures in $M),LRCX,10417.339,9355.232,7820.844,5436.043,5295.1
Gross profit(figures in $M),LRCX,8630.321,7871.807,6805.306,4608.693,4358.459
Research development(figures in $M),LRCX,1714.037,1604.248,1493.408,1252.412,1191.32
Selling general and administrative(figures in $M),LRCX,866.832,885.737,829.875,682.479,702.407
Total operating expenses(figures in $M),LRCX,2580.869,2489.985,2323.283,1934.891,1893.727
Operating income or loss(figures in $M),LRCX,6049.452,5381.822,4482.023,2673.802,2464.732
Interest expense(figures in $M),LRCX,185.651,184.759,208.597,177.44,117.263
Total other income/expenses net(figures in $M),LRCX,-112.868,-188.708,-111.219,-98.824,-18.161
Income before tax(figures in $M),LRCX,5800.273,5193.114,4370.804,2574.978,2446.571
Income tax expense(figures in $M),LRCX,675.175,587.828,462.346,323.225,255.141
Income from continuing operations(figures in $M),LRCX,5125.098,4605.286,3908.458,2251.753,2191.43
Net income(figures in $M),LRCX,5125.098,4605.286,3908.458,2251.753,2191.43
Net income available to common shareholders(figures in $M),LRCX,5125.098,4605.286,3908.458,2251.753,2191.43
Basic EPS(figures in $M),LRCX,,3.292e-05,2.722e-05,1.5550000000000002e-05,1.437e-05
Diluted EPS(figures in $M),LRCX,,3.275e-05,2.69e-05,1.51e-05,1.37e-05
Basic average shares(figures in $M),LRCX,,139.899,143.609,144.814,152.478
Diluted average shares(figures in $M),LRCX,,140.628,145.32,149.09,159.915
EBITDA(figures in $M),LRCX,,5715.561,4789.174,2942.327,2774.013
