,ticker,2023,2024,2025,2026,2027
Revenue(In $M),F,"169,947","176,260","171,216","178,449","180,529"
Dividend,F,0.53,0.60,0.56,0.60,0.60
Dividend Yield (in %),F,7.94 %,6.53 %,6.85 %,26.80 %,26.80 %
EPS,F,1.74,1.75,1.79,1.40,-
P/E Ratio,F,6.79,6.76,6.58,8.44,-
EBIT(In $M),F,"9,870","9,892","10,398","8,533","8,528"
EBITDA(In $M),F,"14,605","14,813","16,303",-,-
Net Profit(In $M),F,"7,115","7,356","8,420","5,638","5,635"
Net Profit Adjusted(In $M),F,"7,115","7,356","8,420","5,638","5,635"
Pre-Tax Profit(In $M),F,"8,857","8,753","9,269","7,333","7,328"
Net Profit (Adjusted)(In $M),F,"8,199","8,995","9,498",-,-
EPS (Non-GAAP) ex. SOE(In $),F,1.74,1.75,1.79,1.40,-
EPS (GAAP)(In $),F,1.70,1.80,1.93,-,-
Gross Income(In $M),F,"21,819","22,008","23,101","18,031","18,164"
Cash Flow from Investing(In $M),F,"-7,637","-9,552","-11,799",-,-
Cash Flow from Operations(In $M),F,"11,286","11,850","13,706","11,723","11,963"
Cash Flow from Financing(In $M),F,"-4,762","-1,969",-246,0,-
Cash Flow per Share(In $),F,2.14,2.31,2.87,-,-
Free Cash Flow(In $M),F,"2,693","2,759","4,611","3,223","3,463"
Free Cash Flow per Share(In $),F,1.36,1.83,2.13,-,-
Book Value per Share(In $),F,11.56,12.48,13.30,-,-
Net Debt(In $M),F,"-10,217","-12,223","-13,912",-,-
Research & Development Exp.(In $M),F,"8,575","8,925","8,975",-,-
Capital Expenditure(In $M),F,"8,179","8,654","8,746",-,-
"Selling, General & Admin. Exp.(In $M)",F,"12,802","13,211","14,835","13,741","13,901"
Shareholder’s Equity(In $M),F,"46,013","50,006","53,730","49,582","52,823"
Total Assets(In $M),F,"263,317","266,673","273,637","267,420","272,671"
