,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),F,158057.0,158057.0,136341.0,127144.0,155900.0
Cost of revenue(figures in $M),F,134397.0,134397.0,114651.0,112752.0,134693.0
Gross profit(figures in $M),F,23660.0,23660.0,21690.0,14392.0,21207.0
Selling general and administrative(figures in $M),F,10888.0,10888.0,11915.0,10193.0,11161.0
Total operating expenses(figures in $M),F,10888.0,10888.0,11915.0,10193.0,11161.0
Operating income or loss(figures in $M),F,12772.0,12772.0,9775.0,4199.0,10046.0
Interest expense(figures in $M),F,7778.0,7778.0,7055.0,10258.0,10521.0
Total other income/expenses net(figures in $M),F,-8649.0,-8649.0,14799.0,4491.0,-974.0
Income before tax(figures in $M),F,-3016.0,-3016.0,17780.0,-1116.0,-640.0
Income tax expense(figures in $M),F,-864.0,-864.0,-130.0,160.0,-724.0
Income from continuing operations(figures in $M),F,-2152.0,-2152.0,17910.0,-1276.0,84.0
Net income(figures in $M),F,-1981.0,-1981.0,17937.0,-1279.0,47.0
Net income available to common shareholders(figures in $M),F,-1981.0,-1981.0,17937.0,-1279.0,47.0
Basic EPS(figures in $M),F,,-4.9e-07,4.49e-06,-3.2e-07,1e-08
Diluted EPS(figures in $M),F,,-4.9e-07,4.450000000000001e-06,-3.2e-07,1e-08
Basic average shares(figures in $M),F,,4014.0,3991.0,3973.0,3972.0
Diluted average shares(figures in $M),F,,4014.0,4034.0,3973.0,4004.0
EBITDA(figures in $M),F,,11255.0,30795.0,16599.0,18371.0
