,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),KO,43004.0,43004.0,38655.0,33014.0,37266.0
Cost of revenue(figures in $M),KO,18000.0,18000.0,15357.0,13433.0,14619.0
Gross profit(figures in $M),KO,25004.0,25004.0,23298.0,19581.0,22647.0
Selling general and administrative(figures in $M),KO,7442.0,12880.0,12144.0,9731.0,12103.0
Total operating expenses(figures in $M),KO,12956.0,14095.0,12990.0,10584.0,12561.0
Operating income or loss(figures in $M),KO,12048.0,10909.0,10308.0,8997.0,10086.0
Interest expense(figures in $M),KO,882.0,882.0,1597.0,1437.0,946.0
Total other income/expenses net(figures in $M),KO,71.0,1210.0,3438.0,1819.0,1083.0
Income before tax(figures in $M),KO,11686.0,11686.0,12425.0,9749.0,10786.0
Income tax expense(figures in $M),KO,2115.0,2115.0,2621.0,1981.0,1801.0
Income from continuing operations(figures in $M),KO,9571.0,9571.0,9804.0,7768.0,8985.0
Net income(figures in $M),KO,9542.0,9542.0,9771.0,7747.0,8920.0
Net income available to common shareholders(figures in $M),KO,9542.0,9542.0,9771.0,7747.0,8920.0
Basic EPS(figures in $M),KO,,2.2e-06,2.26e-06,1.8000000000000001e-06,2.09e-06
Diluted EPS(figures in $M),KO,,2.1899999999999998e-06,2.25e-06,1.79e-06,2.0699999999999997e-06
Basic average shares(figures in $M),KO,,4328.0,4315.0,4295.0,4276.0
Diluted average shares(figures in $M),KO,,4350.0,4340.0,4323.0,4314.0
EBITDA(figures in $M),KO,,13828.0,15474.0,12722.0,13097.0
