,ticker,2023,2024,2025,2026,2027
Revenue(In $M),KO,"45,022","47,432","50,164","52,066",-
Dividend,KO,1.86,1.91,2.00,2.15,-
Dividend Yield (in %),KO,3.04 %,3.18 %,3.34 %,3.73 %,-
EPS,KO,2.61,2.81,3.02,3.20,-
P/E Ratio,KO,24.43,22.68,21.10,19.96,-
EBIT(In $M),KO,"13,203","14,119","15,355","15,953",-
EBITDA(In $M),KO,"14,565","15,560","17,047","17,604",-
Net Profit(In $M),KO,"11,333","12,173","13,018","13,501",-
Net Profit Adjusted(In $M),KO,"11,341","12,192","13,096","13,501",-
Pre-Tax Profit(In $M),KO,"14,160","15,195","16,467","17,127",-
Net Profit (Adjusted)(In $M),KO,"14,202","15,183","16,293","17,127",-
EPS (Non-GAAP) ex. SOE(In $),KO,2.61,2.81,3.02,3.20,-
EPS (GAAP)(In $),KO,2.62,2.80,2.93,3.04,-
Gross Income(In $M),KO,"26,635","28,122","29,948",-,-
Cash Flow from Investing(In $M),KO,"-2,105","-2,054","-2,143","-3,441",-
Cash Flow from Operations(In $M),KO,"11,680","13,163","13,923","18,305",-
Cash Flow from Financing(In $M),KO,"-7,090","-10,624","-10,722","-16,817",-
Cash Flow per Share(In $),KO,2.61,3.06,3.34,3.87,-
Free Cash Flow(In $M),KO,"9,227","11,245","11,758","12,402",-
Free Cash Flow per Share(In $),KO,2.12,2.52,2.69,-,-
Book Value per Share(In $),KO,-,6.50,6.58,4.27,-
Net Debt(In $M),KO,"27,705","26,416","25,498","33,350",-
Research & Development Exp.(In $M),KO,-,-,-,-,-
Capital Expenditure(In $M),KO,"1,920","2,064","2,105","1,975","1,718"
"Selling, General & Admin. Exp.(In $M)",KO,"13,463","14,072","15,335",-,-
Shareholder’s Equity(In $M),KO,"27,007","29,343","29,451","18,382","47,711"
Total Assets(In $M),KO,"97,483","99,497","100,429","104,940",-
