,ticker,2023,2024
Revenue(In $M),CINF,"7,911","8,512"
Dividend,CINF,3.00,3.14
Dividend Yield (in %),CINF,2.60 %,2.82 %
EPS,CINF,4.70,5.88
P/E Ratio,CINF,22.13,17.71
EBIT(In $M),CINF,713,849
EBITDA(In $M),CINF,-,-
Net Profit(In $M),CINF,832,936
Net Profit Adjusted(In $M),CINF,760,959
Pre-Tax Profit(In $M),CINF,"1,021","1,262"
Net Profit (Adjusted)(In $M),CINF,"1,021","1,262"
EPS (Non-GAAP) ex. SOE(In $),CINF,4.70,5.88
EPS (GAAP)(In $),CINF,5.38,5.98
Gross Income(In $M),CINF,-,-
Cash Flow from Investing(In $M),CINF,-,-
Cash Flow from Operations(In $M),CINF,-,-
Cash Flow from Financing(In $M),CINF,-,-
Cash Flow per Share(In $),CINF,4.25,-
Free Cash Flow(In $M),CINF,-,-
Free Cash Flow per Share(In $),CINF,-,-
Book Value per Share(In $),CINF,70.07,72.85
Net Debt(In $M),CINF,-,-
Research & Development Exp.(In $M),CINF,-,-
Capital Expenditure(In $M),CINF,-,-
"Selling, General & Admin. Exp.(In $M)",CINF,-,-
Shareholder’s Equity(In $M),CINF,"11,236","11,714"
Total Assets(In $M),CINF,"31,397","32,672"
