,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PCAR,"31,506","28,845","30,886","30,247","30,884"
Dividend,PCAR,3.44,3.03,3.00,2.89,2.92
Dividend Yield (in %),PCAR,3.70 %,3.35 %,2.93 %,-,-
EPS,PCAR,7.73,6.32,6.86,8.68,8.76
P/E Ratio,PCAR,9.19,11.25,10.35,8.19,8.11
EBIT(In $M),PCAR,"4,796","3,880","4,229","3,888","3,909"
EBITDA(In $M),PCAR,"4,799","4,018","4,440","4,991","5,106"
Net Profit(In $M),PCAR,"3,992","3,277","3,602","3,031","3,059"
Net Profit Adjusted(In $M),PCAR,"4,100","3,257","3,413","3,031","3,059"
Pre-Tax Profit(In $M),PCAR,"5,189","4,269","4,625","3,873","3,909"
Net Profit (Adjusted)(In $M),PCAR,"4,900","3,917","4,341",-,-
EPS (Non-GAAP) ex. SOE(In $),PCAR,7.73,6.32,6.86,8.68,8.76
EPS (GAAP)(In $),PCAR,7.19,6.00,6.41,5.80,5.85
Gross Income(In $M),PCAR,"5,687","4,833","5,506",-,-
Cash Flow from Investing(In $M),PCAR,"-2,043","-1,237","-1,738",-,-
Cash Flow from Operations(In $M),PCAR,"4,487","3,891","4,362","4,958","5,069"
Cash Flow from Financing(In $M),PCAR,-874,"-1,855","-1,742",-,-
Cash Flow per Share(In $),PCAR,9.11,7.54,8.92,11.74,12.09
Free Cash Flow(In $M),PCAR,"3,123","2,822","2,933","3,447","3,552"
Free Cash Flow per Share(In $),PCAR,6.04,5.36,4.49,-,-
Book Value per Share(In $),PCAR,30.95,33.92,37.80,47.80,50.00
Net Debt(In $M),PCAR,"6,001","5,386","-2,185","-6,876","-7,212"
Research & Development Exp.(In $M),PCAR,396,372,397,-,-
Capital Expenditure(In $M),PCAR,499,558,528,658,672
"Selling, General & Admin. Exp.(In $M)",PCAR,740,738,781,-,-
Shareholder’s Equity(In $M),PCAR,"15,172","16,773","18,599","16,646","17,432"
Total Assets(In $M),PCAR,"31,876","33,181","40,766",-,-
