,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PCAR,28819.8,28819.7,23522.3,18728.5,25599.7
Cost of revenue(figures in $M),PCAR,23593.2,24068.1,20230.4,16276.5,21584.3
Gross profit(figures in $M),PCAR,5226.6,4751.6,3291.9,2452.0,4015.4
Research development(figures in $M),PCAR,341.2,341.2,324.1,273.9,326.6
Selling general and administrative(figures in $M),PCAR,726.3,726.3,676.8,581.4,698.5
Total operating expenses(figures in $M),PCAR,1547.9,1073.0,1001.4,884.1,1040.5
Operating income or loss(figures in $M),PCAR,3678.7,3678.6,2290.5,1567.9,2974.9
Interest expense(figures in $M),PCAR,,,1120.3,1200.1,
Total other income/expenses net(figures in $M),PCAR,61.0,61.0,15.5,35.9,82.3
Income before tax(figures in $M),PCAR,3848.7,3848.7,2378.6,1657.9,3099.2
Income tax expense(figures in $M),PCAR,837.1,837.1,526.5,359.5,711.3
Income from continuing operations(figures in $M),PCAR,3011.6,3011.6,1852.1,1298.4,2387.9
Net income(figures in $M),PCAR,3011.6,3011.6,1852.1,1298.4,2387.9
Net income available to common shareholders(figures in $M),PCAR,3011.6,3011.6,1852.1,1298.4,2387.9
Basic EPS(figures in $M),PCAR,,5.76e-06,3.58e-06,2.5e-06,4.59e-06
Diluted EPS(figures in $M),PCAR,,5.75e-06,3.5699999999999997e-06,2.5e-06,4.58e-06
Basic average shares(figures in $M),PCAR,,522.6,521.7,520.2,520.35
Diluted average shares(figures in $M),PCAR,,523.4,522.7,521.2,521.25
EBITDA(figures in $M),PCAR,,4468.8,3193.8,2616.9,4052.2
