,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),3011.6,3011.6,1852.1,1298.4,2387.9,PCAR
Depreciation & amortisation(figures in $M),790.2,790.2,903.3,1049.0,1077.3,PCAR
Deferred income taxes(figures in $M),-208.0,-208.0,-212.9,-0.5,70.8,PCAR
Change in working capital(figures in $M),-547.1,-809.5,-239.0,891.2,-595.5,PCAR
Accounts receivable(figures in $M),-1377.1,125.9,-329.8,20.0,-75.3,PCAR
Inventory(figures in $M),-272.7,-272.7,-610.3,-48.2,24.6,PCAR
Accounts payable(figures in $M),0.0,0.0,0.0,-53.6,-27.6,PCAR
Other working capital(figures in $M),1636.5,1636.5,553.9,1348.8,889.5,PCAR
Other non-cash items(figures in $M),-25.2,34.7,-329.7,-251.4,-9.4,PCAR
Net cash provided by operating activities(figures in $M),3027.0,3027.0,2186.7,2987.2,2860.3,PCAR
"Investments in property, plant and equipment(figures in $M)",-1390.5,-1390.5,-1632.8,-1638.4,-1970.8,PCAR
Purchases of investments(figures in $M),-888.4,-170.3,-176.1,-244.6,-850.6,PCAR
Sales/maturities of investments(figures in $M),718.1,718.1,727.0,597.8,715.5,PCAR
Other investing activities(figures in $M),-472.2,-472.2,446.2,7.2,-101.5,PCAR
Net cash used for investing activities(figures in $M),-2033.0,-2033.0,-1362.7,-1875.8,-2207.4,PCAR
Debt repayment(figures in $M),-2265.8,-2265.8,-210.9,-1898.5,-1790.0,PCAR
Common stock repurchased(figures in $M),-2.1,-2.1,-1.5,-42.1,-110.2,PCAR
Dividends paid(figures in $M),-1004.7,-1004.7,-708.0,-1239.8,-1138.6,PCAR
Net cash used provided by (used for) financing activities(figures in $M),304.9,304.9,-882.9,-1808.5,83.4,PCAR
Net change in cash(figures in $M),1262.6,1262.6,-111.3,-635.5,739.2,PCAR
Cash at beginning of period(figures in $M),3428.3,3428.3,3539.6,4175.1,3435.9,PCAR
Cash at end of period(figures in $M),4690.9,4690.9,3428.3,3539.6,4175.1,PCAR
Operating cash flow(figures in $M),3027.0,3027.0,2186.7,2987.2,2860.3,PCAR
Capital expenditure(figures in $M),-1390.5,-1390.5,-1632.8,-1638.4,-1970.8,PCAR
Free cash flow(figures in $M),1636.5,1636.5,553.9,1348.8,889.5,PCAR
