,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),-1311.0,-1311.0,1599.0,5576.0,4847.0,ALL
Depreciation & amortisation(figures in $M),847.0,847.0,1086.0,686.0,647.0,ALL
Change in working capital(figures in $M),-53.0,-53.0,-88.0,2.0,666.0,ALL
Accounts receivable(figures in $M),-630.0,-630.0,-2063.0,-14.0,21.0,ALL
Other working capital(figures in $M),4701.0,4701.0,4771.0,5183.0,4696.0,ALL
Other non-cash items(figures in $M),0.0,0.0,-4.0,0.0,0.0,ALL
Net cash provided by operating activities(figures in $M),5121.0,5121.0,5116.0,5491.0,5129.0,ALL
"Investments in property, plant and equipment(figures in $M)",-420.0,-420.0,-345.0,-308.0,-433.0,ALL
"Acquisitions, net(figures in $M)",-1258.0,-1258.0,-5359.0,-1265.0,-1332.0,ALL
Purchases of investments(figures in $M),-46509.0,-46509.0,-41913.0,-47011.0,-39884.0,ALL
Sales/maturities of investments(figures in $M),45221.0,45221.0,44544.0,43139.0,38253.0,ALL
Net cash used for investing activities(figures in $M),-1728.0,-1728.0,510.0,-3441.0,-2807.0,ALL
Debt repayment(figures in $M),0.0,0.0,-436.0,0.0,-317.0,ALL
Common stock repurchased(figures in $M),-2520.0,-2520.0,-3570.0,-2025.0,-2867.0,ALL
Dividends paid(figures in $M),-1031.0,-1031.0,-999.0,-776.0,-787.0,ALL
Other financing activities(figures in $M),49.0,49.0,-349.0,-462.0,-537.0,ALL
Net cash used provided by (used for) financing activities(figures in $M),-3420.0,-3420.0,-5240.0,-2011.0,-2483.0,ALL
Net change in cash(figures in $M),-27.0,-27.0,386.0,39.0,-161.0,ALL
Cash at beginning of period(figures in $M),763.0,763.0,311.0,338.0,499.0,ALL
Cash at end of period(figures in $M),736.0,736.0,763.0,377.0,338.0,ALL
Operating cash flow(figures in $M),5121.0,5121.0,5116.0,5491.0,5129.0,ALL
Capital expenditure(figures in $M),-420.0,-420.0,-345.0,-308.0,-433.0,ALL
Free cash flow(figures in $M),4701.0,4701.0,4771.0,5183.0,4696.0,ALL
