,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CMCSA,"120,467","123,538","123,404","126,545","128,584"
Dividend,CMCSA,1.16,1.24,1.34,1.41,1.54
Dividend Yield (in %),CMCSA,3.28 %,3.51 %,3.80 %,4.00 %,4.36 %
EPS,CMCSA,3.67,4.13,4.49,5.23,6.05
P/E Ratio,CMCSA,10.95,9.75,8.96,7.70,6.65
EBIT(In $M),CMCSA,"22,527","23,969","24,488","25,685","27,437"
EBITDA(In $M),CMCSA,"36,938","38,425","39,191","40,838","43,208"
Net Profit(In $M),CMCSA,"14,310","15,224","15,316","16,416","17,715"
Net Profit Adjusted(In $M),CMCSA,"14,973","16,008","16,381","17,544","18,024"
Pre-Tax Profit(In $M),CMCSA,"18,972","20,125","20,514","21,988","23,169"
Net Profit (Adjusted)(In $M),CMCSA,"19,005","20,067","20,494",-,-
EPS (Non-GAAP) ex. SOE(In $),CMCSA,3.67,4.13,4.49,5.23,6.05
EPS (GAAP)(In $),CMCSA,3.42,3.83,4.06,4.71,5.45
Gross Income(In $M),CMCSA,"84,305",-,-,-,-
Cash Flow from Investing(In $M),CMCSA,"-11,731","-11,660","-9,430","-15,284","-15,267"
Cash Flow from Operations(In $M),CMCSA,"29,258","31,315","32,048","35,703","36,857"
Cash Flow from Financing(In $M),CMCSA,"-11,986","-14,614","-15,673","-19,079","-19,118"
Cash Flow per Share(In $),CMCSA,6.85,7.51,8.02,9.25,10.23
Free Cash Flow(In $M),CMCSA,"13,546","14,986","16,358","17,521","19,450"
Free Cash Flow per Share(In $),CMCSA,2.96,3.34,3.88,4.50,6.14
Book Value per Share(In $),CMCSA,20.45,22.26,24.22,22.40,24.30
Net Debt(In $M),CMCSA,"90,847","91,259","91,624","83,648","95,256"
Research & Development Exp.(In $M),CMCSA,-,-,-,-,-
Capital Expenditure(In $M),CMCSA,"12,653","12,875","12,451","12,534","12,132"
"Selling, General & Admin. Exp.(In $M)",CMCSA,"80,940","82,978","81,618",-,-
Shareholder’s Equity(In $M),CMCSA,"85,592","90,121","95,527","92,279","71,782"
Total Assets(In $M),CMCSA,"263,910","271,364","279,340","256,975","247,903"
