,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PCG,21680.0,21680.0,20642.0,18469.0,17129.0
Cost of revenue(figures in $M),PCG,14665.0,14665.0,14581.0,12582.0,12554.0
Gross profit(figures in $M),PCG,7015.0,7015.0,6061.0,5887.0,4575.0
Total operating expenses(figures in $M),PCG,4941.0,4941.0,3920.0,3881.0,3234.0
Operating income or loss(figures in $M),PCG,2074.0,2074.0,2141.0,2006.0,1341.0
Interest expense(figures in $M),PCG,1917.0,1917.0,1601.0,1260.0,934.0
Total other income/expenses net(figures in $M),PCG,157.0,157.0,188.0,-1727.0,-11531.0
Income before tax(figures in $M),PCG,476.0,476.0,748.0,-942.0,-11042.0
Income tax expense(figures in $M),PCG,-1338.0,-1338.0,836.0,362.0,-3400.0
Income from continuing operations(figures in $M),PCG,1814.0,1814.0,-88.0,-1304.0,-7642.0
Net income(figures in $M),PCG,1814.0,1814.0,-88.0,-1304.0,-7642.0
Net income available to common shareholders(figures in $M),PCG,1800.0,1800.0,-102.0,-1318.0,-7656.0
Basic EPS(figures in $M),PCG,,9.100000000000001e-07,-5.0000000000000004e-08,-1.0500000000000001e-06,-1.45e-05
Diluted EPS(figures in $M),PCG,,8.4e-07,-5.0000000000000004e-08,-1.0500000000000001e-06,-1.45e-05
Basic average shares(figures in $M),PCG,,1987.0,1985.0,1257.0,528.0
Diluted average shares(figures in $M),PCG,,2132.0,1985.0,1257.0,528.0
EBITDA(figures in $M),PCG,,6249.0,5752.0,3786.0,-6874.0
