,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PCG,"22,942","23,744","24,539","24,598","25,187"
Dividend,PCG,0.10,0.26,0.26,0.48,0.66
Dividend Yield (in %),PCG,0.65 %,1.20 %,1.47 %,3.00 %,4.09 %
EPS,PCG,1.22,1.35,1.47,1.61,1.77
P/E Ratio,PCG,14.18,12.76,11.72,10.70,9.75
EBIT(In $M),PCG,"4,932","5,473","5,949","6,201","6,764"
EBITDA(In $M),PCG,"8,802","9,646","10,431","11,095","12,020"
Net Profit(In $M),PCG,"2,556","2,876","3,134","3,388","3,731"
Net Profit Adjusted(In $M),PCG,"2,556","2,876","3,134","3,388","3,731"
Pre-Tax Profit(In $M),PCG,"3,352","3,768","4,058","3,979","4,406"
Net Profit (Adjusted)(In $M),PCG,"3,721","4,150","4,307",-,-
EPS (Non-GAAP) ex. SOE(In $),PCG,1.22,1.35,1.47,1.61,1.77
EPS (GAAP)(In $),PCG,1.16,1.30,1.39,1.47,1.62
Gross Income(In $M),PCG,"18,704","19,196","19,716",-,-
Cash Flow from Investing(In $M),PCG,"-7,900","-7,900","-9,175","-10,700","-10,700"
Cash Flow from Operations(In $M),PCG,"5,801","5,584","6,408","8,256","8,810"
Cash Flow from Financing(In $M),PCG,"2,366","2,599","2,616","2,040","2,940"
Cash Flow per Share(In $),PCG,3.64,3.54,3.77,-,-
Free Cash Flow(In $M),PCG,"-1,289","-1,503","-1,353",-,-
Free Cash Flow per Share(In $),PCG,-0.35,-0.55,-0.39,-,-
Book Value per Share(In $),PCG,12.10,13.27,14.53,-,-
Net Debt(In $M),PCG,"52,491","54,173","55,870",-,-
Research & Development Exp.(In $M),PCG,-,-,-,-,-
Capital Expenditure(In $M),PCG,"8,780","9,120","9,525","10,800","11,500"
"Selling, General & Admin. Exp.(In $M)",PCG,"9,824","9,824","9,824",-,-
Shareholder’s Equity(In $M),PCG,"26,876","28,774","30,818","33,913","37,263"
Total Assets(In $M),PCG,"117,023","121,774","126,850","140,128","146,976"
