,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),JPM,128641.0,128695.0,121649.0,119543.0,115627.0
Interest expense(figures in $M),JPM,26097.0,26097.0,5553.0,9960.0,26795.0
Income before tax(figures in $M),JPM,46166.0,46166.0,59562.0,35407.0,44545.0
Income tax expense(figures in $M),JPM,8490.0,8490.0,11228.0,6276.0,8114.0
Income from continuing operations(figures in $M),JPM,37676.0,37676.0,48334.0,29131.0,36431.0
Net income(figures in $M),JPM,37676.0,37676.0,48334.0,29131.0,36431.0
Net income available to common shareholders(figures in $M),JPM,35892.0,35892.0,46503.0,27410.0,34642.0
Basic EPS(figures in $M),JPM,,1.21e-05,1.539e-05,8.890000000000001e-06,1.075e-05
Diluted EPS(figures in $M),JPM,,1.209e-05,1.536e-05,8.880000000000001e-06,1.072e-05
Basic average shares(figures in $M),JPM,,2965.8,3021.5,3082.4,3221.5
Diluted average shares(figures in $M),JPM,,2970.0,3026.6,3087.4,3230.4
