,ticker,2023,2024,2025
Revenue(In $M),STX,"7,500","7,783","9,243"
Dividend,STX,2.80,2.81,2.84
Dividend Yield (in %),STX,4.59 %,4.64 %,4.85 %
EPS,STX,0.18,2.43,5.50
P/E Ratio,STX,316.02,23.09,10.19
EBIT(In $M),STX,413,776,"1,412"
EBITDA(In $M),STX,915,"1,210","1,965"
Net Profit(In $M),STX,35,463,"1,088"
Net Profit Adjusted(In $M),STX,35,446,"1,124"
Pre-Tax Profit(In $M),STX,84,448,"1,103"
Net Profit (Adjusted)(In $M),STX,79,471,"1,166"
EPS (Non-GAAP) ex. SOE(In $),STX,0.34,2.80,4.54
EPS (GAAP)(In $),STX,-2.47,1.47,4.12
Gross Income(In $M),STX,"1,558","2,004","2,545"
Cash Flow from Investing(In $M),STX,-184,-382,-625
Cash Flow from Operations(In $M),STX,"1,047",981,"1,559"
Cash Flow from Financing(In $M),STX,-962,-831,-783
Cash Flow per Share(In $),STX,3.27,4.86,8.47
Free Cash Flow(In $M),STX,629,613,984
Free Cash Flow per Share(In $),STX,2.11,2.88,5.82
Book Value per Share(In $),STX,-6.28,-6.82,-5.56
Net Debt(In $M),STX,"4,698","4,832","4,514"
Research & Development Exp.(In $M),STX,785,727,731
Capital Expenditure(In $M),STX,379,389,549
"Selling, General & Admin. Exp.(In $M)",STX,465,456,479
Shareholder’s Equity(In $M),STX,"-1,115","-1,218","-1,059"
Total Assets(In $M),STX,"7,344","7,369","8,071"
