,ticker,2023,2024,2025
Revenue(In $M),DE,"54,409","56,049","57,057"
Dividend,DE,4.85,5.13,5.48
Dividend Yield (in %),DE,1.20 %,1.27 %,1.36 %
EPS,DE,30.58,32.14,33.98
P/E Ratio,DE,12.23,11.63,11.00
EBIT(In $M),DE,"11,639","12,047","12,430"
EBITDA(In $M),DE,"12,143","12,202","13,543"
Net Profit(In $M),DE,"9,006","9,300","9,733"
Net Profit Adjusted(In $M),DE,"8,981","9,404","9,561"
Pre-Tax Profit(In $M),DE,"11,375","11,813","12,520"
Net Profit (Adjusted)(In $M),DE,"11,325","12,000","11,784"
EPS (Non-GAAP) ex. SOE(In $),DE,30.58,32.14,33.98
EPS (GAAP)(In $),DE,30.47,32.54,33.03
Gross Income(In $M),DE,"17,678","17,938","16,862"
Cash Flow from Investing(In $M),DE,"-1,367","-1,325","-1,250"
Cash Flow from Operations(In $M),DE,"9,867","10,557","10,109"
Cash Flow from Financing(In $M),DE,"-5,210","-5,060","-3,095"
Cash Flow per Share(In $),DE,30.57,36.94,35.03
Free Cash Flow(In $M),DE,"8,127","8,637","8,614"
Free Cash Flow per Share(In $),DE,26.98,28.66,28.93
Book Value per Share(In $),DE,74.06,90.32,115.67
Net Debt(In $M),DE,"1,897","-2,164","11,675"
Research & Development Exp.(In $M),DE,"2,184","2,384","2,498"
Capital Expenditure(In $M),DE,"1,425","1,540","1,377"
"Selling, General & Admin. Exp.(In $M)",DE,"3,821","3,970","3,836"
Shareholder’s Equity(In $M),DE,"20,372","24,481","31,037"
Total Assets(In $M),DE,"57,449","61,702","58,341"
