,2022,2021,2020,2019,2018,ticker
Current ratio,1.977,2.151,2.239,2.038,1.847,DE
Quick ratio,1.720,1.908,2.026,1.798,1.603,DE
Cash ratio,0.144,0.288,0.301,0.155,0.155,DE
Days of sales outstanding,357.329,368.374,409.521,375.069,355.932,DE
Days of inventory outstanding,87.743,85.007,77.064,81.400,83.169,DE
Operating cycle,445.072,453.381,486.585,456.469,439.101,DE
Days of payables outstanding,40.220,153.003,155.885,131.548,33.341,DE
Cash conversion cycle,404.852,300.379,330.700,324.921,405.760,DE
Gross profit margin,0.328,0.339,0.334,0.318,0.271,DE
Operating profit margin,0.194,0.195,0.144,0.141,0.109,DE
Pretax profit margin,0.174,0.173,0.109,0.104,0.110,DE
Net profit margin,0.136,0.135,0.077,0.083,0.064,DE
Effective tax rate,0.220,0.218,0.279,0.208,0.424,DE
Return on assets,0.079,0.071,0.037,0.045,0.034,DE
Return on equity,0.352,0.324,0.213,0.285,0.210,DE
Return on capital employed,0.179,0.153,0.099,0.115,0.090,DE
Net income per EBT,0.781,0.784,0.708,0.796,0.582,DE
Ebt per ebit,0.896,0.884,0.757,0.736,1.007,DE
Ebit per revenue,0.194,0.195,0.144,0.141,0.109,DE
Debt ratio,0.774,0.781,0.828,0.843,0.839,DE
Debt equity ratio,2.561,2.627,3.556,3.972,3.744,DE
Long term debt to capitalization,0.624,0.641,0.717,0.726,0.707,DE
Total debt to capitalization,0.719,0.724,0.780,0.799,0.789,DE
Interest coverage,9.594,8.656,4.114,3.789,3.359,DE
Cash flow to debt ratio,0.091,0.160,0.163,0.075,0.043,DE
Company equity multiplier,4.443,4.564,5.804,6.397,6.211,DE
Receivables turnover,1.021,0.991,0.891,0.973,1.025,DE
Payables turnover,9.075,2.386,2.341,2.775,10.948,DE
Inventory turnover,4.160,4.294,4.736,4.484,4.389,DE
Fixed asset turnover,4.147,3.437,2.710,2.899,2.840,DE
Asset turnover,0.584,0.523,0.473,0.538,0.528,DE
Operating cash flow per share,15.432,24.795,23.869,10.780,5.643,DE
Free cash flow per share,2.992,16.515,15.397,-0.117,-3.502,DE
Cash per share,18.089,28.065,24.584,14.022,13.621,DE
Payout ratio,0.184,0.174,0.348,0.290,0.340,DE
Operating cash flow sales ratio,0.089,0.175,0.211,0.087,0.049,DE
Free cash flow operating cash flow ratio,0.194,0.666,0.645,-0.011,-0.621,DE
Cash flow coverage ratios,0.091,0.160,0.163,0.075,0.043,DE
Short term coverage ratios,0.257,0.498,0.564,0.226,0.121,DE
Capital expenditure coverage ratio,-1.240,-2.995,-2.817,-0.989,-0.617,DE
Dividend paid and capex coverage ratio,-1.899,-5.017,-4.402,-1.362,-0.849,DE
Dividend payout ratio,0.184,0.174,0.348,0.290,0.340,DE
Price book value ratio,5.948,6.065,5.615,4.967,3.731,DE
Price to book ratio,5.948,6.065,5.615,4.967,3.731,DE
Price to sales ratio,2.292,2.539,2.044,1.444,1.138,DE
Price earnings ratio,16.902,18.747,26.404,17.425,17.784,DE
Price to free cash flows ratio,132.302,21.723,15.048,-1.532 K,-37.280,DE
Price to operating cash flows ratio,25.650,14.469,9.707,16.613,23.138,DE
Price cash flow ratio,25.650,14.469,9.707,16.613,23.138,DE
Price earnings to growth ratio,0.756,0.159,-1.798,0.435,2.073,DE
Price sales ratio,2.292,2.539,2.044,1.444,1.138,DE
Dividend yield,0.011,0.009,0.013,0.017,0.019,DE
Enterprise value multiple,13.874,14.296,15.393,12.962,13.480,DE
Price fair value,5.948,6.065,5.615,4.967,3.731,DE
