,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AZO,"17,493","18,449","19,341","19,681","20,532"
Dividend,AZO,0.00,0.00,0.00,-,-
Dividend Yield (in %),AZO,-,-,-,-,-
EPS,AZO,129.03,146.15,160.90,187.27,214.65
P/E Ratio,AZO,20.63,18.21,16.54,14.21,12.40
EBIT(In $M),AZO,"3,407","3,656","3,827","3,994","4,208"
EBITDA(In $M),AZO,"3,921","4,202","4,414","4,536","4,773"
Net Profit(In $M),AZO,"2,461","2,612","2,739","2,859","3,020"
Net Profit Adjusted(In $M),AZO,"2,467","2,623","2,772",-,-
Pre-Tax Profit(In $M),AZO,"3,134","3,362","3,540","3,738","3,947"
Net Profit (Adjusted)(In $M),AZO,"3,166","3,356","3,530",-,-
EPS (Non-GAAP) ex. SOE(In $),AZO,128.87,146.02,161.43,-,-
EPS (GAAP)(In $),AZO,129.05,146.59,162.29,-,-
Gross Income(In $M),AZO,"9,006","9,548","9,956","10,252","10,715"
Cash Flow from Investing(In $M),AZO,-341,-365,-262,-787,-821
Cash Flow from Operations(In $M),AZO,"3,528","3,611","3,890","4,134","4,340"
Cash Flow from Financing(In $M),AZO,"-2,652","-2,690","-3,186","-3,392","-3,413"
Cash Flow per Share(In $),AZO,154.62,174.82,206.71,-,-
Free Cash Flow(In $M),AZO,"2,645","2,701","2,913","2,636","2,739"
Free Cash Flow per Share(In $),AZO,138.00,156.30,176.10,-,-
Book Value per Share(In $),AZO,-217.79,-252.63,-229.72,-,-
Net Debt(In $M),AZO,"7,785","8,041","7,439","7,117","7,713"
Research & Development Exp.(In $M),AZO,-,-,-,-,-
Capital Expenditure(In $M),AZO,684,693,691,787,821
"Selling, General & Admin. Exp.(In $M)",AZO,"5,600","5,909","6,155","6,258","6,508"
Shareholder’s Equity(In $M),AZO,"-4,619","-5,305","-5,619","-6,040","-5,972"
Total Assets(In $M),AZO,"15,530","15,964","15,902","16,064","16,724"
