,ticker,2023,2024,2025
Revenue(In $M),GLW,"14,444","15,424","16,214"
Dividend,GLW,0.99,1.05,1.05
Dividend Yield (in %),GLW,2.95 %,3.13 %,3.76 %
EPS,GLW,2.00,2.38,2.64
P/E Ratio,GLW,15.86,13.32,12.03
EBIT(In $M),GLW,"2,528","2,901","3,154"
EBITDA(In $M),GLW,"3,912","4,335","4,671"
Net Profit(In $M),GLW,"1,676","2,005","2,190"
Net Profit Adjusted(In $M),GLW,"1,693","2,012","2,199"
Pre-Tax Profit(In $M),GLW,"2,203","2,606","2,830"
Net Profit (Adjusted)(In $M),GLW,"2,009","2,619","2,839"
EPS (Non-GAAP) ex. SOE(In $),GLW,2.00,2.38,2.64
EPS (GAAP)(In $),GLW,1.65,2.31,2.69
Gross Income(In $M),GLW,"5,252","5,752","6,135"
Cash Flow from Investing(In $M),GLW,"-1,462","-1,644","-1,651"
Cash Flow from Operations(In $M),GLW,"2,640","3,245","3,677"
Cash Flow from Financing(In $M),GLW,"-1,446","-1,221","-1,425"
Cash Flow per Share(In $),GLW,3.21,3.80,4.37
Free Cash Flow(In $M),GLW,"1,148","1,650","2,037"
Free Cash Flow per Share(In $),GLW,1.53,1.90,-
Book Value per Share(In $),GLW,14.45,15.27,16.16
Net Debt(In $M),GLW,"5,573","5,417","5,240"
Research & Development Exp.(In $M),GLW,"1,018","1,062",-
Capital Expenditure(In $M),GLW,"1,565","1,647","1,711"
"Selling, General & Admin. Exp.(In $M)",GLW,"1,724","1,820","1,879"
Shareholder’s Equity(In $M),GLW,"12,228","12,747","13,332"
Total Assets(In $M),GLW,"29,001","29,799","30,251"
