,ticker,2023,2024,2025,2026
Revenue(In $M),AMAT,"24,842","23,976","26,632","29,146"
Dividend,AMAT,1.07,1.18,1.25,1.32
Dividend Yield (in %),AMAT,0.88 %,0.98 %,1.05 %,-
EPS,AMAT,7.03,6.74,8.31,9.93
P/E Ratio,AMAT,16.00,16.69,13.52,11.32
EBIT(In $M),AMAT,"6,898","6,496","7,699","8,662"
EBITDA(In $M),AMAT,"7,365","6,981","8,202","9,218"
Net Profit(In $M),AMAT,"5,942","5,590","6,683","7,419"
Net Profit Adjusted(In $M),AMAT,"5,938","5,585","6,659","7,419"
Pre-Tax Profit(In $M),AMAT,"6,759","6,359","7,619","8,626"
Net Profit (Adjusted)(In $M),AMAT,"6,769","6,463","7,986",-
EPS (Non-GAAP) ex. SOE(In $),AMAT,7.03,6.74,8.31,9.93
EPS (GAAP)(In $),AMAT,6.96,6.63,8.18,9.84
Gross Income(In $M),AMAT,"11,479","11,116","12,708","14,006"
Cash Flow from Investing(In $M),AMAT,-955,-911,"-1,043",-
Cash Flow from Operations(In $M),AMAT,"7,903","6,198","7,360","9,082"
Cash Flow from Financing(In $M),AMAT,"-4,582","-4,657","-4,908",-
Cash Flow per Share(In $),AMAT,8.28,8.01,9.18,10.58
Free Cash Flow(In $M),AMAT,"6,998","4,974","6,063","6,509"
Free Cash Flow per Share(In $),AMAT,6.58,4.59,4.41,-
Book Value per Share(In $),AMAT,17.21,19.31,20.22,20.80
Net Debt(In $M),AMAT,21,364,-188,"2,176"
Research & Development Exp.(In $M),AMAT,"3,048","3,073","3,241","3,539"
Capital Expenditure(In $M),AMAT,928,865,"1,023","1,329"
"Selling, General & Admin. Exp.(In $M)",AMAT,"1,546","1,534","1,678",-
Shareholder’s Equity(In $M),AMAT,"14,269","15,393","16,336","15,599"
Total Assets(In $M),AMAT,"28,005","30,211","31,207",-
