,ticker,2023,2024,2025,2026,2027
Revenue(In $M),APD,"13,118","13,898","15,363","17,733","20,950"
Dividend,APD,6.81,7.31,7.93,8.05,-
Dividend Yield (in %),APD,2.39 %,2.58 %,2.81 %,2.82 %,-
EPS,APD,11.36,12.51,13.83,16.57,18.82
P/E Ratio,APD,25.91,23.52,21.28,17.76,15.64
EBIT(In $M),APD,"2,732","3,038","3,601","4,094",-
EBITDA(In $M),APD,"4,642","5,098","5,640","6,396","7,474"
Net Profit(In $M),APD,"2,557","2,825","3,132","3,823","4,458"
Net Profit Adjusted(In $M),APD,"2,557","2,825","3,132","3,823","4,458"
Pre-Tax Profit(In $M),APD,"3,162","3,492","3,806","4,436","5,536"
Net Profit (Adjusted)(In $M),APD,"3,150","3,429","3,673",-,-
EPS (Non-GAAP) ex. SOE(In $),APD,11.36,12.51,13.83,16.57,18.82
EPS (GAAP)(In $),APD,11.37,12.51,13.63,17.50,-
Gross Income(In $M),APD,"3,724","4,079","4,473","5,184",-
Cash Flow from Investing(In $M),APD,"-4,675","-4,652","-5,178","-4,000",-
Cash Flow from Operations(In $M),APD,"3,867","4,235","4,473","5,653","5,939"
Cash Flow from Financing(In $M),APD,-585,180,599,-273,-
Cash Flow per Share(In $),APD,15.63,17.42,13.68,14.89,-
Free Cash Flow(In $M),APD,-896,-542,-619,"1,165","2,825"
Free Cash Flow per Share(In $),APD,-6.27,-4.55,-3.38,15.81,-
Book Value per Share(In $),APD,65.17,70.54,76.27,85.12,-
Net Debt(In $M),APD,"6,545","8,781","11,175","11,323","9,770"
Research & Development Exp.(In $M),APD,105,105,103,-,-
Capital Expenditure(In $M),APD,"4,406","4,244","4,612","3,718","3,115"
"Selling, General & Admin. Exp.(In $M)",APD,941,982,984,-,-
Shareholder’s Equity(In $M),APD,"14,405","15,426","16,964","18,858",-
Total Assets(In $M),APD,"28,692","32,049","37,139","41,638",-
