,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MUR,"3,460","3,680","3,663","3,459","3,434"
Dividend,MUR,1.10,1.24,1.37,-,-
Dividend Yield (in %),MUR,3.23 %,4.98 %,3.77 %,-,-
EPS,MUR,5.27,6.17,6.09,4.73,4.21
P/E Ratio,MUR,6.34,5.41,5.48,7.06,7.93
EBIT(In $M),MUR,"1,273","1,416","1,377","1,142","1,107"
EBITDA(In $M),MUR,"2,171","2,329","2,336","2,042","1,925"
Net Profit(In $M),MUR,820,941,903,722,639
Net Profit Adjusted(In $M),MUR,812,951,915,695,549
Pre-Tax Profit(In $M),MUR,"1,169","1,370","1,373","1,042","1,015"
Net Profit (Adjusted)(In $M),MUR,"1,085","1,232","1,249",-,-
EPS (Non-GAAP) ex. SOE(In $),MUR,5.27,6.17,6.09,4.73,4.21
EPS (GAAP)(In $),MUR,5.40,5.88,5.72,4.73,4.21
Gross Income(In $M),MUR,-,-,-,-,-
Cash Flow from Investing(In $M),MUR,"-1,053",-969,-945,"-1,033","-1,002"
Cash Flow from Operations(In $M),MUR,"1,906","2,133","2,019","1,929","1,818"
Cash Flow from Financing(In $M),MUR,-632,-679,-590,-349,-593
Cash Flow per Share(In $),MUR,12.57,13.68,13.60,12.49,11.94
Free Cash Flow(In $M),MUR,844,"1,046",836,"1,135",-
Free Cash Flow per Share(In $),MUR,3.08,5.40,5.99,-,-
Book Value per Share(In $),MUR,35.98,40.18,44.15,-,-
Net Debt(In $M),MUR,924,304,-239,-,-
Research & Development Exp.(In $M),MUR,-,-,-,-,-
Capital Expenditure(In $M),MUR,971,941,961,904,952
"Selling, General & Admin. Exp.(In $M)",MUR,120,121,124,-,-
Shareholder’s Equity(In $M),MUR,"5,686","6,199","6,709","6,706","7,091"
Total Assets(In $M),MUR,"10,704","11,336","12,084","12,572","12,657"
