,ticker,2023,2024,2025
Revenue(In $M),KEY,"6,977","7,290","7,771"
Dividend,KEY,-,-,0.90
Dividend Yield (in %),KEY,6.64 %,7.12 %,7.32 %
EPS,KEY,1.60,1.78,1.88
P/E Ratio,KEY,5.44,4.88,4.64
EBIT(In $M),KEY,"2,466","2,686","2,216"
EBITDA(In $M),KEY,-,-,-
Net Profit(In $M),KEY,"1,471","1,674","1,863"
Net Profit Adjusted(In $M),KEY,"1,471","1,674","1,863"
Pre-Tax Profit(In $M),KEY,"2,001","2,252","2,532"
Net Profit (Adjusted)(In $M),KEY,"2,048","2,293","2,294"
EPS (Non-GAAP) ex. SOE(In $),KEY,1.60,1.78,1.88
EPS (GAAP)(In $),KEY,-,-,2.08
Gross Income(In $M),KEY,-,-,-
Cash Flow from Investing(In $M),KEY,-,-,-
Cash Flow from Operations(In $M),KEY,-,-,-
Cash Flow from Financing(In $M),KEY,-,-,-
Cash Flow per Share(In $),KEY,-,-,-
Free Cash Flow(In $M),KEY,-,-,-
Free Cash Flow per Share(In $),KEY,-,-,-
Book Value per Share(In $),KEY,14.00,14.87,15.43
Net Debt(In $M),KEY,-,-,-
Research & Development Exp.(In $M),KEY,-,-,-
Capital Expenditure(In $M),KEY,-,-,-
"Selling, General & Admin. Exp.(In $M)",KEY,-,-,-
Shareholder’s Equity(In $M),KEY,-,-,-
Total Assets(In $M),KEY,-,-,-
