,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),1917.0,1917.0,2625.0,1343.0,1717.0,KEY
Depreciation & amortisation(figures in $M),137.0,137.0,32.0,111.0,241.0,KEY
Deferred income taxes(figures in $M),-27.0,-27.0,146.0,-191.0,53.0,KEY
Stock-based compensation(figures in $M),120.0,120.0,104.0,101.0,96.0,KEY
Change in working capital(figures in $M),-128.0,-128.0,34.0,305.0,-191.0,KEY
Other working capital(figures in $M),4361.0,4361.0,1087.0,1610.0,2821.0,KEY
Other non-cash items(figures in $M),2081.0,2081.0,-1111.0,-792.0,715.0,KEY
Net cash provided by operating activities(figures in $M),4469.0,4469.0,1153.0,1673.0,2906.0,KEY
"Investments in property, plant and equipment(figures in $M)",-108.0,-108.0,-66.0,-63.0,-85.0,KEY
"Acquisitions, net(figures in $M)",-58.0,-58.0,-29.0,0.0,-185.0,KEY
Purchases of investments(figures in $M),-8810.0,-8810.0,-28248.0,-30692.0,-5788.0,KEY
Sales/maturities of investments(figures in $M),15446.0,15446.0,17138.0,13115.0,6831.0,KEY
Other investing activities(figures in $M),72.0,72.0,72.0,66.0,59.0,KEY
Net cash used for investing activities(figures in $M),-10934.0,-10934.0,-15068.0,-24721.0,-4918.0,KEY
Debt repayment(figures in $M),-8580.0,-8580.0,-2566.0,-2508.0,-3634.0,KEY
Common stock issued(figures in $M),6.0,6.0,27.0,8.0,18.0,KEY
Common stock repurchased(figures in $M),0.0,0.0,-1144.0,-134.0,-835.0,KEY
Dividends paid(figures in $M),-854.0,-854.0,-823.0,-829.0,-804.0,KEY
Net cash used provided by (used for) financing activities(figures in $M),6439.0,6439.0,13737.0,23407.0,2066.0,KEY
Net change in cash(figures in $M),-26.0,-26.0,-178.0,359.0,54.0,KEY
Cash at beginning of period(figures in $M),913.0,913.0,1091.0,732.0,678.0,KEY
Cash at end of period(figures in $M),887.0,887.0,913.0,1091.0,732.0,KEY
Operating cash flow(figures in $M),4469.0,4469.0,1153.0,1673.0,2906.0,KEY
Capital expenditure(figures in $M),-108.0,-108.0,-66.0,-63.0,-85.0,KEY
Free cash flow(figures in $M),4361.0,4361.0,1087.0,1610.0,2821.0,KEY
