,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),IP,21161.0,21161.0,19363.0,20580.0,22376.0
Cost of revenue(figures in $M),IP,15143.0,15143.0,13832.0,14373.0,15268.0
Gross profit(figures in $M),IP,6018.0,6018.0,5531.0,6207.0,7108.0
Selling general and administrative(figures in $M),IP,3076.0,3076.0,2829.0,3071.0,3207.0
Total operating expenses(figures in $M),IP,4264.0,4264.0,4065.0,4529.0,4683.0
Operating income or loss(figures in $M),IP,1754.0,1754.0,1466.0,1678.0,2425.0
Interest expense(figures in $M),IP,403.0,325.0,337.0,444.0,491.0
Total other income/expenses net(figures in $M),IP,82.0,82.0,-130.0,-584.0,-330.0
Income before tax(figures in $M),IP,1511.0,1511.0,999.0,650.0,1604.0
Income tax expense(figures in $M),IP,-236.0,-236.0,188.0,245.0,634.0
Income from continuing operations(figures in $M),IP,1741.0,1741.0,1124.0,482.0,1220.0
Net income(figures in $M),IP,1504.0,1504.0,1752.0,482.0,1225.0
Net income available to common shareholders(figures in $M),IP,1504.0,1504.0,1752.0,482.0,1225.0
Basic EPS(figures in $M),IP,,,4.5e-06,1.23e-06,3.1e-06
Diluted EPS(figures in $M),IP,,,4.4699999999999996e-06,1.22e-06,3.07e-06
Basic average shares(figures in $M),IP,,,389.4,393.0,395.3
Diluted average shares(figures in $M),IP,,,392.4,395.7,398.8
EBITDA(figures in $M),IP,,2876.0,2546.0,2381.0,3401.0
