,ticker,2023,2024,2025
Revenue(In $M),IP,"19,906","19,660","20,071"
Dividend,IP,1.85,1.86,1.85
Dividend Yield (in %),IP,4.84 %,5.26 %,5.22 %
EPS,IP,2.39,2.52,2.62
P/E Ratio,IP,13.32,12.65,12.16
EBIT(In $M),IP,"1,352","1,398","1,451"
EBITDA(In $M),IP,"2,347","2,394","2,348"
Net Profit(In $M),IP,869,891,943
Net Profit Adjusted(In $M),IP,845,864,872
Pre-Tax Profit(In $M),IP,"1,101","1,128","1,235"
Net Profit (Adjusted)(In $M),IP,"1,093","1,020","1,111"
EPS (Non-GAAP) ex. SOE(In $),IP,2.39,2.52,2.62
EPS (GAAP)(In $),IP,2.58,2.76,3.27
Gross Income(In $M),IP,"5,576","5,573","5,657"
Cash Flow from Investing(In $M),IP,-594,"-1,000",-
Cash Flow from Operations(In $M),IP,"1,955","1,896","2,446"
Cash Flow from Financing(In $M),IP,"-1,186",-830,-
Cash Flow per Share(In $),IP,5.37,5.02,4.88
Free Cash Flow(In $M),IP,956,878,974
Free Cash Flow per Share(In $),IP,2.94,2.46,-
Book Value per Share(In $),IP,24.08,24.20,24.35
Net Debt(In $M),IP,"4,450","4,343","4,737"
Research & Development Exp.(In $M),IP,-,-,-
Capital Expenditure(In $M),IP,"1,082","1,024","1,049"
"Selling, General & Admin. Exp.(In $M)",IP,"1,297","1,217","1,164"
Shareholder’s Equity(In $M),IP,"8,403","8,435","8,489"
Total Assets(In $M),IP,"23,527","23,361",-
