,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),848.947,848.934,505.189,872.351,521.534,BXP
Depreciation & amortisation(figures in $M),752.202,752.202,720.852,685.985,680.176,BXP
Stock-based compensation(figures in $M),52.026,52.026,50.86,44.142,40.958,BXP
Change in working capital(figures in $M),-207.589,-207.589,-224.086,-109.97,-230.474,BXP
Accounts receivable(figures in $M),-7.621,-7.621,4.82,22.55,-24.876,BXP
Accounts payable(figures in $M),-22.777,-22.777,20.025,-4.059,12.627,BXP
Other working capital(figures in $M),1282.399,1282.399,1133.227,1156.84,1181.165,BXP
Other non-cash items(figures in $M),19.207,19.207,23.368,23.384,22.254,BXP
Net cash provided by operating activities(figures in $M),1282.399,1282.399,1133.227,1156.84,1181.165,BXP
"Acquisitions, net(figures in $M)",-277.581,-277.581,-98.152,-172.436,-87.392,BXP
Purchases of investments(figures in $M),-2.404,-2.404,0.0,0.0,-2.132,BXP
Sales/maturities of investments(figures in $M),4.902,4.902,0.0,2.551,0.0,BXP
Other investing activities(figures in $M),16.624,16.624,10.035,-3.403,-20.568,BXP
Net cash used for investing activities(figures in $M),-1602.802,-1602.802,-1039.956,-613.719,-1015.091,BXP
Debt repayment(figures in $M),-1130.0,-1130.0,-3798.796,-282.168,-1125.912,BXP
Common stock issued(figures in $M),0.0,0.0,24.214,3.277,13.71,BXP
Common stock repurchased(figures in $M),0.0,0.0,-200.0,0.0,0.0,BXP
Dividends paid(figures in $M),-685.019,-685.019,-683.753,-688.904,-666.294,BXP
Other financing activities(figures in $M),-93.481,-93.481,-321.741,-61.008,-262.989,BXP
Net cash used provided by (used for) financing activities(figures in $M),556.057,556.057,-1311.442,484.322,-113.379,BXP
Net change in cash(figures in $M),235.654,235.654,-1218.171,1027.443,52.695,BXP
Cash at beginning of period(figures in $M),501.158,501.158,1719.329,691.886,639.191,BXP
Cash at end of period(figures in $M),736.812,736.812,501.158,1719.329,691.886,BXP
Operating cash flow(figures in $M),1282.399,1282.399,1133.227,1156.84,1181.165,BXP
Free cash flow(figures in $M),1282.399,1282.399,1133.227,1156.84,1181.165,BXP
