,ticker,2023,2024,2025,2026,2027
Revenue(In $M),BXP,"3,167","3,262","3,201","3,342","3,609"
Dividend,BXP,3.93,3.96,4.04,4.08,4.08
Dividend Yield (in %),BXP,7.44 %,7.52 %,7.49 %,7.56 %,7.64 %
EPS,BXP,2.98,3.02,2.20,2.31,-
P/E Ratio,BXP,16.90,16.66,22.87,21.79,-
EBIT(In $M),BXP,"1,072","1,129","1,271","1,211","1,258"
EBITDA(In $M),BXP,"1,865","1,944","2,001","2,000",-
Net Profit(In $M),BXP,414,444,563,476,462
Net Profit Adjusted(In $M),BXP,464,494,661,620,607
Pre-Tax Profit(In $M),BXP,568,608,692,-,-
Net Profit (Adjusted)(In $M),BXP,739,776,982,-,-
EPS (Non-GAAP) ex. SOE(In $),BXP,2.37,2.60,2.75,-,-
EPS (GAAP)(In $),BXP,2.39,2.46,4.25,-,-
Gross Income(In $M),BXP,"1,963","2,040","2,100","2,093","2,261"
Cash Flow from Investing(In $M),BXP,-866,-963,"-1,130",-,-
Cash Flow from Operations(In $M),BXP,"1,490","1,588","1,283",-,-
Cash Flow from Financing(In $M),BXP,-718,-91,-72,-,-
Cash Flow per Share(In $),BXP,7.69,7.92,7.47,-,-
Free Cash Flow(In $M),BXP,"1,862","1,964",-,-,-
Free Cash Flow per Share(In $),BXP,-,-,-,-,-
Book Value per Share(In $),BXP,41.74,37.16,30.51,-,-
Net Debt(In $M),BXP,"14,259","14,532","14,893","16,100","16,140"
Research & Development Exp.(In $M),BXP,-,-,-,-,-
Capital Expenditure(In $M),BXP,483,472,653,294,257
"Selling, General & Admin. Exp.(In $M)",BXP,169,176,182,-,-
Shareholder’s Equity(In $M),BXP,"6,460","5,894","5,330","4,834",-
Total Assets(In $M),BXP,"24,242","24,109","23,927","22,896",-
