,2022,2021,2020,2019,2018,ticker
Current ratio,3.159,2.600,4.914,3.038,3.467,BXP
Quick ratio,3.139,2.533,4.832,2.965,3.134,BXP
Cash ratio,0.998,0.627,2.719,1.010,1.023,BXP
Days of sales outstanding,170.179,173.772,171.065,153.803,150.589,BXP
Days of inventory outstanding,0,0,0,0,0,BXP
Operating cycle,170.179,173.772,171.065,153.803,150.589,BXP
Days of payables outstanding,132.625,108.878,117.793,125.920,98.743,BXP
Cash conversion cycle,37.554,64.893,53.272,27.883,51.846,BXP
Gross profit margin,0.630,0.638,0.623,0.630,0.624,BXP
Operating profit margin,0.328,0.338,0.299,0.376,0.336,BXP
Pretax profit margin,0.328,0.219,0.368,0.220,0.262,BXP
Net profit margin,0.188,0.072,0.541,0.176,0.215,BXP
Effective tax rate,0.428,0.670,-0.468,0.274,0,BXP
Return on assets,0.024,0.009,0.065,0.025,0.029,BXP
Return on equity,0.095,0.036,0.249,0.092,0.099,BXP
Return on capital employed,0.043,0.045,0.037,0.054,0.046,BXP
Net income per EBT,0.572,0.330,1.468,0.800,0.818,BXP
Ebt per ebit,1.000,0.647,1.231,0.586,0.780,BXP
Ebit per revenue,0.328,0.338,0.299,0.376,0.336,BXP
Debt ratio,0.654,0.640,0.635,0.623,0.595,BXP
Debt equity ratio,4.673,2.288,2.249,2.152,1.871,BXP
Long term debt to capitalization,0.706,0.694,0.692,0.683,0.652,BXP
Total debt to capitalization,0.824,0.696,0.692,0.683,0.652,BXP
Interest coverage,2.334,2.306,1.917,2.697,2.416,BXP
Cash flow to debt ratio,0.045,0.085,0.086,0.097,0.104,BXP
Company equity multiplier,3.947,3.832,3.812,3.744,3.443,BXP
Receivables turnover,2.145,2.100,2.134,2.373,2.424,BXP
Payables turnover,2.752,3.352,3.099,2.899,3.696,BXP
Inventory turnover,0,0,0,0,0,BXP
Fixed asset turnover,7.678,0,0,0,0,BXP
Asset turnover,0.128,0.129,0.121,0.139,0.134,BXP
Operating cash flow per share,8.214,7.259,7.443,7.641,7.448,BXP
Free cash flow per share,8.214,7.259,7.443,7.641,7.448,BXP
Cash per share,4.629,2.900,10.736,4.172,3.519,BXP
Payout ratio,1.174,3.278,0.461,1.278,1.008,BXP
Operating cash flow sales ratio,0.413,0.392,0.418,0.399,0.423,BXP
Free cash flow operating cash flow ratio,1,1,1,1,1,BXP
Cash flow coverage ratios,0.045,0.085,0.086,0.097,0.104,BXP
Short term coverage ratios,0.092,7.815,0,0,0,BXP
Capital expenditure coverage ratio,0,0,0,0,0,BXP
Dividend paid and capex coverage ratio,1.872,1.657,1.679,1.773,1.957,BXP
Dividend payout ratio,1.174,3.278,0.461,1.278,1.008,BXP
Price book value ratio,1.720,3.082,2.450,3.749,2.954,BXP
Price to book ratio,1.720,3.082,2.450,3.749,2.954,BXP
Price to sales ratio,3.394,6.225,5.313,7.198,6.397,BXP
Price earnings ratio,18.083,86.206,9.828,40.862,29.820,BXP
Price to free cash flows ratio,8.227,15.867,12.701,18.042,15.110,BXP
Price to operating cash flows ratio,8.227,15.867,12.701,18.042,15.110,BXP
Price cash flow ratio,8.227,15.867,12.701,18.042,15.110,BXP
Price earnings to growth ratio,0.101,-1.002,0.052,-3.822,1.126,BXP
Price sales ratio,3.394,6.225,5.313,7.198,6.397,BXP
Dividend yield,0.065,0.038,0.047,0.031,0.034,BXP
Enterprise value multiple,13.873,18.231,17.540,18.371,17.331,BXP
Price fair value,1.720,3.082,2.450,3.749,2.954,BXP
