,ticker,2023,2024,2025,2026
Revenue(In $M),MCD,"24,988","26,594","28,075","29,818"
Dividend,MCD,6.14,6.45,6.98,7.13
Dividend Yield (in %),MCD,2.30 %,2.41 %,2.59 %,2.68 %
EPS,MCD,11.08,12.11,13.13,14.39
P/E Ratio,MCD,26.65,24.38,22.49,20.53
EBIT(In $M),MCD,"11,362","12,305","13,067","13,818"
EBITDA(In $M),MCD,"13,351","14,332","15,122","16,398"
Net Profit(In $M),MCD,"8,027","8,706","9,282","9,986"
Net Profit Adjusted(In $M),MCD,"8,027","8,705","9,313","9,986"
Pre-Tax Profit(In $M),MCD,"10,129","11,040","11,790","12,675"
Net Profit (Adjusted)(In $M),MCD,"10,023","11,057","11,671",-
EPS (Non-GAAP) ex. SOE(In $),MCD,11.08,12.11,13.13,14.39
EPS (GAAP)(In $),MCD,10.88,12.10,13.13,14.39
Gross Income(In $M),MCD,"13,245","14,048","15,775",-
Cash Flow from Investing(In $M),MCD,"-2,511","-2,476","-2,209","-2,073"
Cash Flow from Operations(In $M),MCD,"9,756","10,566","11,349","11,734"
Cash Flow from Financing(In $M),MCD,"-7,587","-7,958","-8,425","-8,962"
Cash Flow per Share(In $),MCD,13.72,15.16,16.36,-
Free Cash Flow(In $M),MCD,"7,118","7,793","9,073",-
Free Cash Flow per Share(In $),MCD,8.94,10.37,8.91,-
Book Value per Share(In $),MCD,-4.97,-3.09,32.07,-
Net Debt(In $M),MCD,"33,647","32,851","33,434",-
Research & Development Exp.(In $M),MCD,-,-,-,-
Capital Expenditure(In $M),MCD,"2,311","2,291","2,223","2,073"
"Selling, General & Admin. Exp.(In $M)",MCD,"2,875","2,985","3,102","3,355"
Shareholder’s Equity(In $M),MCD,"-4,126","-3,092","-5,471","-3,472"
Total Assets(In $M),MCD,"50,672","51,617","51,708","52,809"
