,ticker,2023,2024,2025,2026
Revenue(In $M),PLL,171,425,-,389
Dividend,PLL,0.00,0.00,-,-
Dividend Yield (in %),PLL,-,-,-,-
EPS,PLL,8.03,17.98,-,27.18
P/E Ratio,PLL,6.63,2.96,"1,419.20",1.96
EBIT(In $M),PLL,115,318,-,202
EBITDA(In $M),PLL,149,340,-,265
Net Profit(In $M),PLL,115,315,-,299
Net Profit Adjusted(In $M),PLL,128,392,-,-
Pre-Tax Profit(In $M),PLL,137,366,-,584
Net Profit (Adjusted)(In $M),PLL,246,-,-,-
EPS (Non-GAAP) ex. SOE(In $),PLL,8.69,23.87,-,-
EPS (GAAP)(In $),PLL,10.55,16.60,-,-
Gross Income(In $M),PLL,195,418,-,194
Cash Flow from Investing(In $M),PLL,-256,-419,-,-
Cash Flow from Operations(In $M),PLL,109,334,-,-
Cash Flow from Financing(In $M),PLL,575,321,-,-
Cash Flow per Share(In $),PLL,4.24,17.79,-,-
Free Cash Flow(In $M),PLL,12,-202,-,-
Free Cash Flow per Share(In $),PLL,-,-,-,-
Book Value per Share(In $),PLL,35.14,67.14,-,-
Net Debt(In $M),PLL,-172,-251,-,453
Research & Development Exp.(In $M),PLL,8,10,-,-
Capital Expenditure(In $M),PLL,240,439,-,-
"Selling, General & Admin. Exp.(In $M)",PLL,24,24,-,27
Shareholder’s Equity(In $M),PLL,459,924,-,-
Total Assets(In $M),PLL,"1,139","2,190",-,-
