,ticker,ttm,2022-12-31,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),PLL,0.0,0.0,0.0,0.0,0.0
Selling general and administrative(figures in $M),PLL,12.948,29.449,8.861,2.927,3.078
Total operating expenses(figures in $M),PLL,28.272,31.388,19.736,6.352,10.185
Operating income or loss(figures in $M),PLL,-28.272,-31.388,-19.736,-6.352,-10.185
Interest expense(figures in $M),PLL,0.115029,0.115029,,0.157271,
Total other income/expenses net(figures in $M),PLL,0.045548,20.515,0.07462,0.622817,0.23409
Income before tax(figures in $M),PLL,-28.497,-9.835,-19.929,-5.671,-9.823
Income tax expense(figures in $M),PLL,0.0,3.139,0.0,0.0,0.0
Income from continuing operations(figures in $M),PLL,-28.972,-12.975,-19.994,-5.671,-9.823
Net income(figures in $M),PLL,-28.972,-12.975,-19.994,-5.671,-9.823
Net income available to common shareholders(figures in $M),PLL,-28.972,-12.975,-19.994,-5.671,-9.823
Basic EPS(figures in $M),PLL,,,-1.48e-06,-7.1e-07,-1.56e-06
Diluted EPS(figures in $M),PLL,,,-1.48e-06,-7.1e-07,-1.56e-06
Basic average shares(figures in $M),PLL,,,13.551,8.284,6.217
Diluted average shares(figures in $M),PLL,,,13.551,8.284,6.217
EBITDA(figures in $M),PLL,,-9.647,-19.724,-5.514,-10.185
