,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),SLB,1655.0,1757.0,844.0,1137.0
Other short-term investments(figures in $M),SLB,1239.0,1382.0,2162.0,1030.0
Total cash(figures in $M),SLB,2894.0,3139.0,3006.0,2167.0
Net receivables(figures in $M),SLB,7032.0,5315.0,5247.0,7747.0
Inventory(figures in $M),SLB,3999.0,3272.0,3354.0,4130.0
Other current assets(figures in $M),SLB,1078.0,928.0,4666.0,5616.0
Total current assets(figures in $M),SLB,15003.0,12654.0,12919.0,15530.0
"Gross property, plant and equipment(figures in $M)",SLB,28924.0,29630.0,29744.0,35009.0
Accumulated depreciation(figures in $M),SLB,-21779.0,-22648.0,-22918.0,-25739.0
"Net property, plant and equipment(figures in $M)",SLB,6607.0,6429.0,6826.0,9270.0
Equity and other investments(figures in $M),SLB,1581.0,2044.0,2061.0,1565.0
Goodwill(figures in $M),SLB,12982.0,12990.0,12980.0,16042.0
Intangible assets(figures in $M),SLB,2992.0,3211.0,3455.0,7089.0
Other long-term assets(figures in $M),SLB,3970.0,4183.0,6389.0,8381.0
Total non-current assets(figures in $M),SLB,28132.0,28857.0,29650.0,40782.0
Total assets(figures in $M),SLB,43135.0,41511.0,42569.0,56312.0
Current debt(figures in $M),SLB,1632.0,909.0,850.0,524.0
Accounts payable(figures in $M),SLB,9121.0,8382.0,8442.0,10663.0
Taxes payable(figures in $M),SLB,1002.0,879.0,1015.0,1209.0
Accrued liabilities(figures in $M),SLB,4043.0,4089.0,4564.0,4963.0
Deferred revenues(figures in $M),SLB,1157.0,1088.0,941.0,910.0
Total current liabilities(figures in $M),SLB,12018.0,10359.0,10491.0,13098.0
Long-term debt(figures in $M),SLB,10594.0,13286.0,16036.0,14770.0
Deferred tax liabilities(figures in $M),SLB,61.0,94.0,19.0,491.0
Other long-term liabilities(figures in $M),SLB,2369.0,2349.0,2485.0,2810.0
Total non-current liabilities(figures in $M),SLB,13128.0,15866.0,19589.0,19038.0
Total liabilities(figures in $M),SLB,25146.0,26225.0,30080.0,32136.0
Common stock(figures in $M),SLB,11837.0,12608.0,12970.0,13078.0
Retained earnings(figures in $M),SLB,10719.0,8199.0,7018.0,18751.0
Accumulated other comprehensive income(figures in $M),SLB,-3855.0,-3570.0,-4884.0,-4438.0
Total stockholders' equity(figures in $M),SLB,17989.0,15286.0,12489.0,24176.0
Total liabilities and stockholders' equity(figures in $M),SLB,43135.0,41511.0,42569.0,56312.0
