,ticker,2023,2024,2025,2026,2027
Revenue(In $M),SLB,"32,978","36,540","40,459","44,296","47,597"
Dividend,SLB,0.97,1.05,1.17,-,-
Dividend Yield (in %),SLB,1.94 %,2.07 %,2.35 %,-,-
EPS,SLB,3.00,3.70,4.44,4.71,5.20
P/E Ratio,SLB,14.97,12.15,10.12,9.55,8.65
EBIT(In $M),SLB,"5,769","7,030","7,985","10,081","11,127"
EBITDA(In $M),SLB,"8,033","9,242","10,277","11,532","12,557"
Net Profit(In $M),SLB,"4,338","5,304","6,212","6,887","7,659"
Net Profit Adjusted(In $M),SLB,"4,338","5,306","6,235","6,887","7,659"
Pre-Tax Profit(In $M),SLB,"5,432","6,593","7,756","8,773","9,751"
Net Profit (Adjusted)(In $M),SLB,"5,412","6,734","7,734",-,-
EPS (Non-GAAP) ex. SOE(In $),SLB,3.00,3.70,4.44,4.71,5.20
EPS (GAAP)(In $),SLB,3.04,3.71,4.33,4.71,5.20
Gross Income(In $M),SLB,"7,578","8,607","8,262",-,-
Cash Flow from Investing(In $M),SLB,"-2,568","-2,705","-3,117",-,-
Cash Flow from Operations(In $M),SLB,"5,755","7,100","8,820","9,603","10,519"
Cash Flow from Financing(In $M),SLB,"-1,914","-1,989","-2,181",-,-
Cash Flow per Share(In $),SLB,4.23,5.17,6.43,-,-
Free Cash Flow(In $M),SLB,"3,092","4,345","6,033","6,365","7,084"
Free Cash Flow per Share(In $),SLB,3.02,3.93,6.25,-,-
Book Value per Share(In $),SLB,14.24,15.78,18.18,-,-
Net Debt(In $M),SLB,"8,162","5,741","2,199","-4,395","-10,027"
Research & Development Exp.(In $M),SLB,720,757,773,-,-
Capital Expenditure(In $M),SLB,"2,204","2,324","2,486","2,640","2,836"
"Selling, General & Admin. Exp.(In $M)",SLB,366,410,-,-,-
Shareholder’s Equity(In $M),SLB,"19,494","22,049","26,868",-,-
Total Assets(In $M),SLB,"46,342","49,957","54,492",-,-
