,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),SLB,28091.0,28091.0,22929.0,23601.0,32917.0
Cost of revenue(figures in $M),SLB,22930.0,22930.0,19271.0,21000.0,28720.0
Gross profit(figures in $M),SLB,5161.0,5161.0,3658.0,2601.0,4197.0
Research development(figures in $M),SLB,634.0,634.0,554.0,580.0,717.0
Selling general and administrative(figures in $M),SLB,376.0,376.0,339.0,365.0,474.0
Total operating expenses(figures in $M),SLB,1010.0,1010.0,893.0,945.0,1191.0
Operating income or loss(figures in $M),SLB,4151.0,4151.0,2765.0,1656.0,3006.0
Interest expense(figures in $M),SLB,490.0,490.0,539.0,563.0,609.0
Total other income/expenses net(figures in $M),SLB,511.0,511.0,115.0,-12554.0,-12901.0
Income before tax(figures in $M),SLB,4271.0,4271.0,2374.0,-11298.0,-10418.0
Income tax expense(figures in $M),SLB,779.0,779.0,446.0,-812.0,-311.0
Income from continuing operations(figures in $M),SLB,3492.0,3492.0,1928.0,-10486.0,-10107.0
Net income(figures in $M),SLB,3441.0,3441.0,1881.0,-10518.0,-10137.0
Net income available to common shareholders(figures in $M),SLB,3441.0,3441.0,1881.0,-10518.0,-10137.0
Basic EPS(figures in $M),SLB,,2.43e-06,1.34e-06,-7.57e-06,-7.32e-06
Diluted EPS(figures in $M),SLB,,2.39e-06,1.32e-06,-7.57e-06,-7.32e-06
Basic average shares(figures in $M),SLB,,1416.0,1400.0,1390.0,1385.0
Diluted average shares(figures in $M),SLB,,1437.0,1427.0,1390.0,1385.0
EBITDA(figures in $M),SLB,,6908.0,2913.0,-10735.0,-9809.0
