,ticker,2023,2024,2025,2026
Revenue(In $M),C,"78,982","78,504","80,044","76,091"
Dividend,C,1.97,2.04,2.32,-
Dividend Yield (in %),C,3.98 %,4.17 %,5.09 %,-
EPS,C,6.12,6.54,7.85,-
P/E Ratio,C,7.47,6.99,5.82,-
EBIT(In $M),C,"25,034","25,076","24,676","30,697"
EBITDA(In $M),C,-,-,-,-
Net Profit(In $M),C,"12,177","12,439","14,062","17,781"
Net Profit Adjusted(In $M),C,"12,447","12,703","13,938",-
Pre-Tax Profit(In $M),C,"17,270","17,076","19,136","23,683"
Net Profit (Adjusted)(In $M),C,"18,279","18,257","18,616",-
EPS (Non-GAAP) ex. SOE(In $),C,6.03,6.48,7.74,11.44
EPS (GAAP)(In $),C,6.12,6.54,7.85,-
Gross Income(In $M),C,-,-,-,-
Cash Flow from Investing(In $M),C,-,-,-,-
Cash Flow from Operations(In $M),C,-,-,-,-
Cash Flow from Financing(In $M),C,-,-,-,-
Cash Flow per Share(In $),C,-,-,-,-
Free Cash Flow(In $M),C,-,-,-,-
Free Cash Flow per Share(In $),C,-,-,-,-
Book Value per Share(In $),C,99.56,107.42,116.61,-
Net Debt(In $M),C,-,-,-,-
Research & Development Exp.(In $M),C,"9,452","9,840",-,-
Capital Expenditure(In $M),C,-,-,-,-
"Selling, General & Admin. Exp.(In $M)",C,-,-,-,-
Shareholder’s Equity(In $M),C,"191,302","196,060","207,383",-
Total Assets(In $M),C,"2,441,971","2,464,178","2,542,220",-
