,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),C,75305.0,75305.0,71887.0,74291.0,74286.0
Interest expense(figures in $M),C,25740.0,25740.0,7981.0,14541.0,29163.0
Income before tax(figures in $M),C,18807.0,18807.0,27469.0,14022.0,23901.0
Income tax expense(figures in $M),C,3642.0,3642.0,5451.0,2592.0,4430.0
Income from continuing operations(figures in $M),C,15165.0,15165.0,22018.0,11430.0,19471.0
Net income(figures in $M),C,14845.0,14845.0,21952.0,11370.0,19401.0
Net income available to common shareholders(figures in $M),C,13700.0,13700.0,21952.0,11370.0,19401.0
Basic EPS(figures in $M),C,,7.04e-06,1.08e-05,5.45e-06,8.63e-06
Diluted EPS(figures in $M),C,,7e-06,1.0140000000000001e-05,4.87e-06,8.04e-06
Basic average shares(figures in $M),C,,1946.7,2033.0,2085.8,2249.2
Diluted average shares(figures in $M),C,,1964.3,2049.4,2099.0,2265.3
