,ticker,2023,2024,2025,2026,2027
Revenue(In $M),WEC,"9,577","9,982","9,940","10,185","10,267"
Dividend,WEC,3.11,3.31,3.54,3.78,4.02
Dividend Yield (in %),WEC,3.37 %,3.59 %,3.83 %,4.09 %,4.34 %
EPS,WEC,4.61,4.90,5.25,5.60,5.97
P/E Ratio,WEC,20.48,19.25,17.96,16.84,15.81
EBIT(In $M),WEC,"2,178","2,305","2,560","2,789","2,994"
EBITDA(In $M),WEC,-,"3,598","3,742","3,497","3,589"
Net Profit(In $M),WEC,"1,458","1,555","1,661","1,771","1,885"
Net Profit Adjusted(In $M),WEC,"1,458","1,556","1,665","1,774","1,884"
Pre-Tax Profit(In $M),WEC,"1,748","1,862","1,958","2,102","2,242"
Net Profit (Adjusted)(In $M),WEC,"1,731","1,819","1,927",-,-
EPS (Non-GAAP) ex. SOE(In $),WEC,4.61,4.90,5.25,5.60,5.97
EPS (GAAP)(In $),WEC,4.61,4.91,5.26,5.60,5.95
Gross Income(In $M),WEC,"5,451","5,761","6,009",-,-
Cash Flow from Investing(In $M),WEC,"-3,775","-3,413","-3,244","-3,983","-3,883"
Cash Flow from Operations(In $M),WEC,"2,885","3,070","3,250","3,489","3,662"
Cash Flow from Financing(In $M),WEC,133,-29,-176,940,667
Cash Flow per Share(In $),WEC,9.05,9.69,10.34,11.30,11.76
Free Cash Flow(In $M),WEC,"-1,110",-123,548,-,-
Free Cash Flow per Share(In $),WEC,-3.37,-3.30,-1.36,-1.46,-1.03
Book Value per Share(In $),WEC,37.85,39.48,41.08,-,-
Net Debt(In $M),WEC,"19,147","21,022","22,021","21,338","21,591"
Research & Development Exp.(In $M),WEC,-,-,-,-,-
Capital Expenditure(In $M),WEC,"3,820","3,939","3,537","3,625","3,040"
"Selling, General & Admin. Exp.(In $M)",WEC,"2,139","2,215","2,247",-,-
Shareholder’s Equity(In $M),WEC,"11,904","12,407","12,901","13,522","14,158"
Total Assets(In $M),WEC,"44,616","47,272","49,331","50,923","52,173"
