,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),ED,15670.0,15670.0,13676.0,12246.0,12574.0
Cost of revenue(figures in $M),ED,7985.0,7985.0,6008.0,5097.0,5808.0
Gross profit(figures in $M),ED,7685.0,7685.0,7668.0,7149.0,6766.0
Total operating expenses(figures in $M),ED,5061.0,5061.0,4842.0,4495.0,4090.0
Operating income or loss(figures in $M),ED,2624.0,2624.0,2826.0,2654.0,2676.0
Interest expense(figures in $M),ED,951.0,951.0,919.0,1019.0,991.0
Total other income/expenses net(figures in $M),ED,326.0,326.0,-538.0,-401.0,51.0
Income before tax(figures in $M),ED,2098.0,2098.0,1383.0,1234.0,1736.0
Income tax expense(figures in $M),ED,498.0,498.0,190.0,90.0,296.0
Income from continuing operations(figures in $M),ED,1600.0,1600.0,1193.0,1144.0,1440.0
Net income(figures in $M),ED,1660.0,1660.0,1346.0,1101.0,1343.0
Net income available to common shareholders(figures in $M),ED,1660.0,1660.0,1346.0,1101.0,1343.0
Basic EPS(figures in $M),ED,,,3.8599999999999995e-06,3.29e-06,4.09e-06
Diluted EPS(figures in $M),ED,,,3.85e-06,3.28e-06,4.08e-06
Basic average shares(figures in $M),ED,,,348.4,334.8,328.5
Diluted average shares(figures in $M),ED,,,349.4,335.7,329.5
EBITDA(figures in $M),ED,,5105.0,4334.0,4173.0,4411.0
