,ticker,2023,2024,2025,2026,2027
Revenue(In $M),ED,"14,827","15,212","15,732","16,450","16,957"
Dividend,ED,3.27,3.36,3.47,3.53,3.64
Dividend Yield (in %),ED,3.47 %,3.58 %,3.70 %,3.76 %,3.90 %
EPS,ED,4.86,5.20,5.50,5.75,6.05
P/E Ratio,ED,20.29,18.95,17.94,17.15,16.31
EBIT(In $M),ED,"2,926","3,018","3,258","3,127","3,305"
EBITDA(In $M),ED,"4,919","5,206","5,548","5,420","5,710"
Net Profit(In $M),ED,"1,785","1,841","1,919","2,010","2,142"
Net Profit Adjusted(In $M),ED,"1,683","1,789","1,914","2,029","2,150"
Pre-Tax Profit(In $M),ED,"2,134","2,182","2,323","2,286","2,441"
Net Profit (Adjusted)(In $M),ED,"2,141","2,323","2,448",-,-
EPS (Non-GAAP) ex. SOE(In $),ED,4.86,5.20,5.50,5.75,6.05
EPS (GAAP)(In $),ED,4.87,5.23,5.54,5.82,6.05
Gross Income(In $M),ED,"10,967","11,337","11,631",-,-
Cash Flow from Investing(In $M),ED,"-3,013","-5,017","-5,134","-5,495","-5,698"
Cash Flow from Operations(In $M),ED,"3,854","4,020","4,192","4,718","5,025"
Cash Flow from Financing(In $M),ED,439,299,"1,087",913,642
Cash Flow per Share(In $),ED,10.60,11.23,11.43,11.61,12.05
Free Cash Flow(In $M),ED,-600,-537,-389,-328,-176
Free Cash Flow per Share(In $),ED,-3.36,-3.26,-2.99,-2.28,-1.57
Book Value per Share(In $),ED,55.86,57.97,61.27,-,-
Net Debt(In $M),ED,"21,258","23,427","25,417","22,307","23,302"
Research & Development Exp.(In $M),ED,-,-,-,-,-
Capital Expenditure(In $M),ED,"4,743","4,863","4,967","4,942","5,049"
"Selling, General & Admin. Exp.(In $M)",ED,"6,353","6,374","6,392",-,-
Shareholder’s Equity(In $M),ED,"19,859","20,455","21,837","23,149","24,389"
Total Assets(In $M),ED,"65,750","68,138","71,032","72,349","74,126"
