,2022,2021,2019,2018,ticker
Current ratio,0.639,0.665,0.718,0.697,K
Quick ratio,0.334,0.376,0.413,0.374,K
Cash ratio,0.054,0.083,0.083,0.071,K
Days of sales outstanding,38.325,40.741,42.366,37.047,K
Days of inventory outstanding,53.037,51.826,48.656,54.484,K
Operating cycle,91.362,92.567,91.022,91.531,K
Days of payables outstanding,97.614,99.736,94.733,99.423,K
Cash conversion cycle,-6.252,-7.169,-3.711,-7.892,K
Gross profit margin,0.322,0.343,0.323,0.342,K
Operating profit margin,0.124,0.128,0.103,0.126,K
Pretax profit margin,0.139,0.116,0.096,0.098,K
Net profit margin,0.105,0.091,0.071,0.099,K
Effective tax rate,0.241,0.202,0.246,0.136,K
Return on assets,0.082,0.070,0.055,0.075,K
Return on equity,0.400,0.402,0.349,0.514,K
Return on capital employed,0.136,0.138,0.110,0.129,K
Net income per EBT,0.757,0.781,0.736,1.005,K
Ebt per ebit,1.122,0.909,0.931,0.779,K
Ebit per revenue,0.124,0.128,0.103,0.126,K
Debt ratio,0.768,0.798,0.811,0.854,K
Debt equity ratio,2.078,2.607,3.083,3.419,K
Long term debt to capitalization,0.645,0.700,0.735,0.759,K
Total debt to capitalization,0.675,0.723,0.755,0.774,K
Interest coverage,7.857,6.267,4.933,5.944,K
Cash flow to debt ratio,0.220,0.245,0.139,0.173,K
Company equity multiplier,4.887,5.783,6.394,6.836,K
Receivables turnover,9.524,8.959,8.615,9.852,K
Payables turnover,3.739,3.660,3.853,3.671,K
Inventory turnover,6.882,7.043,7.502,6.699,K
Fixed asset turnover,3.175,3.150,3.269,3.631,K
Asset turnover,0.780,0.765,0.773,0.762,K
Operating cash flow per share,4.984,5.794,3.442,4.427,K
Free cash flow per share,3.364,4.321,1.727,2.761,K
Cash per share,0.838,1.269,1.162,0.925,K
Payout ratio,0.530,0.625,0.801,0.570,K
Operating cash flow sales ratio,0.120,0.144,0.087,0.113,K
Free cash flow operating cash flow ratio,0.675,0.746,0.502,0.624,K
Cash flow coverage ratios,0.220,0.245,0.139,0.173,K
Short term coverage ratios,1.763,2.348,1.398,2.239,K
Capital expenditure coverage ratio,-3.076,-3.933,-2.007,-2.657,K
Dividend paid and capex coverage ratio,7.238,7.170,6.426,8.348,K
Dividend payout ratio,0.530,0.625,0.801,0.570,K
Price book value ratio,5.910,6.854,8.601,7.638,K
Price to book ratio,5.910,6.854,8.601,7.638,K
Price to sales ratio,1.550,1.549,1.740,1.466,K
Price earnings ratio,14.775,17.049,24.612,14.870,K
Price to free cash flows ratio,19.151,14.402,40.047,20.737,K
Price to operating cash flows ratio,12.925,10.740,20.092,12.933,K
Price cash flow ratio,12.925,10.740,20.092,12.933,K
Price earnings to growth ratio,0.760,0.570,-0.911,0.036,K
Price sales ratio,1.550,1.549,1.740,1.466,K
Dividend yield,0.036,0.037,0.033,0.038,K
Enterprise value multiple,11.080,12.285,15.292,12.258,K
Price fair value,5.910,6.854,8.601,7.638,K
