,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),K,15315.0,15315.0,14181.0,13770.0,13578.0
Cost of revenue(figures in $M),K,10700.0,10700.0,9621.0,9043.0,9197.0
Gross profit(figures in $M),K,4615.0,4615.0,4560.0,4727.0,4381.0
Selling general and administrative(figures in $M),K,2980.0,2980.0,2808.0,2966.0,2980.0
Total operating expenses(figures in $M),K,2980.0,2980.0,2808.0,2966.0,2980.0
Operating income or loss(figures in $M),K,1635.0,1635.0,1752.0,1761.0,1401.0
Interest expense(figures in $M),K,218.0,218.0,223.0,281.0,284.0
Total other income/expenses net(figures in $M),K,-220.0,-220.0,437.0,121.0,188.0
Income before tax(figures in $M),K,1197.0,1197.0,1966.0,1601.0,1305.0
Income tax expense(figures in $M),K,244.0,244.0,474.0,323.0,321.0
Income from continuing operations(figures in $M),K,962.0,962.0,1495.0,1264.0,977.0
Net income(figures in $M),K,960.0,960.0,1488.0,1251.0,960.0
Net income available to common shareholders(figures in $M),K,960.0,960.0,1488.0,1251.0,960.0
Basic EPS(figures in $M),K,,,4.360000000000001e-06,3.6499999999999998e-06,2.81e-06
Diluted EPS(figures in $M),K,,,4.33e-06,3.63e-06,2.8e-06
Basic average shares(figures in $M),K,,,341.284,342.74,341.637
Diluted average shares(figures in $M),K,,,343.649,344.628,342.857
EBITDA(figures in $M),K,,1893.0,2656.0,2361.0,2073.0
