,ticker,2023,2024,2025,2026,2027
Revenue(In $M),K,"16,055","16,377","16,688","16,939","17,200"
Dividend,K,2.39,2.45,2.53,2.50,2.54
Dividend Yield (in %),K,3.70 %,3.80 %,3.91 %,-,-
EPS,K,4.06,4.29,4.51,4.71,4.86
P/E Ratio,K,17.51,16.56,15.77,15.10,14.63
EBIT(In $M),K,"1,986","2,060","2,119","2,148","2,201"
EBITDA(In $M),K,"2,509","2,591","2,643","2,707","2,768"
Net Profit(In $M),K,"1,388","1,455","1,533","1,576","1,617"
Net Profit Adjusted(In $M),K,"1,389","1,455","1,533",-,-
Pre-Tax Profit(In $M),K,"1,770","1,866","1,966","2,025","2,078"
Net Profit (Adjusted)(In $M),K,"1,785","1,876","1,980","2,025","2,078"
EPS (Non-GAAP) ex. SOE(In $),K,4.06,4.29,4.51,4.71,4.86
EPS (GAAP)(In $),K,3.99,4.27,4.52,4.71,4.86
Gross Income(In $M),K,"5,063","5,249","5,372",-,-
Cash Flow from Investing(In $M),K,-373,-384,-229,-,-
Cash Flow from Operations(In $M),K,"1,869","2,028","2,202",-,-
Cash Flow from Financing(In $M),K,-780,-889,"-1,036",-,-
Cash Flow per Share(In $),K,5.23,5.48,5.99,5.91,6.09
Free Cash Flow(In $M),K,"1,078","1,256","1,354",-,-
Free Cash Flow per Share(In $),K,2.69,3.43,3.93,-,-
Book Value per Share(In $),K,13.52,15.18,16.82,18.43,20.23
Net Debt(In $M),K,"6,186","5,920","5,746","5,542","5,245"
Research & Development Exp.(In $M),K,-,-,-,-,-
Capital Expenditure(In $M),K,695,686,681,661,671
"Selling, General & Admin. Exp.(In $M)",K,"3,105","3,205","3,282",-,-
Shareholder’s Equity(In $M),K,"4,702","5,209","5,733","6,171","6,732"
Total Assets(In $M),K,"18,951","19,406","19,780",-,-
