,ticker,2023,2024,2025
Revenue(In $M),WY,"7,659","8,105","7,927"
Dividend,WY,1.45,0.83,0.98
Dividend Yield (in %),WY,4.46 %,2.59 %,2.80 %
EPS,WY,0.87,1.26,1.18
P/E Ratio,WY,33.51,23.18,24.93
EBIT(In $M),WY,"1,044","1,358","1,275"
EBITDA(In $M),WY,"1,581","1,912","1,796"
Net Profit(In $M),WY,631,876,844
Net Profit Adjusted(In $M),WY,631,876,844
Pre-Tax Profit(In $M),WY,743,"1,043",999
Net Profit (Adjusted)(In $M),WY,-,-,-
EPS (Non-GAAP) ex. SOE(In $),WY,0.87,1.26,1.18
EPS (GAAP)(In $),WY,0.97,1.35,1.30
Gross Income(In $M),WY,"1,807","2,144","2,221"
Cash Flow from Investing(In $M),WY,-452,-446,-
Cash Flow from Operations(In $M),WY,"1,255","1,611",-
Cash Flow from Financing(In $M),WY,"-1,366",-764,-
Cash Flow per Share(In $),WY,1.48,1.91,-
Free Cash Flow(In $M),WY,804,"1,076",-
Free Cash Flow per Share(In $),WY,1.06,1.47,-
Book Value per Share(In $),WY,13.79,13.93,-
Net Debt(In $M),WY,"3,674","3,321","2,386"
Research & Development Exp.(In $M),WY,-,0,-
Capital Expenditure(In $M),WY,427,425,-
"Selling, General & Admin. Exp.(In $M)",WY,490,530,-
Shareholder’s Equity(In $M),WY,"10,105","10,243",-
Total Assets(In $M),WY,"16,605","16,862",-
