,ticker,2023,2024,2025
Revenue(In $M),GS,"48,532","52,071","53,160"
Dividend,GS,10.34,11.08,11.52
Dividend Yield (in %),GS,3.19 %,3.42 %,3.51 %
EPS,GS,32.63,38.57,42.47
P/E Ratio,GS,10.09,8.53,7.75
EBIT(In $M),GS,"16,303","18,262","19,829"
EBITDA(In $M),GS,-,-,-
Net Profit(In $M),GS,"11,247","12,864","13,593"
Net Profit Adjusted(In $M),GS,"11,317","12,905","13,330"
Pre-Tax Profit(In $M),GS,"14,758","16,832","17,507"
Net Profit (Adjusted)(In $M),GS,"13,700","15,825","16,485"
EPS (Non-GAAP) ex. SOE(In $),GS,32.19,38.52,42.64
EPS (GAAP)(In $),GS,32.63,38.57,42.47
Gross Income(In $M),GS,-,-,-
Cash Flow from Investing(In $M),GS,-,-,-
Cash Flow from Operations(In $M),GS,-,-,-
Cash Flow from Financing(In $M),GS,-,-,-
Cash Flow per Share(In $),GS,-,-,-
Free Cash Flow(In $M),GS,-,-,-
Free Cash Flow per Share(In $),GS,-,-,-
Book Value per Share(In $),GS,322.34,347.05,368.90
Net Debt(In $M),GS,-,-,-
Research & Development Exp.(In $M),GS,"1,909","1,956","1,875"
Capital Expenditure(In $M),GS,-,-,-
"Selling, General & Admin. Exp.(In $M)",GS,-,-,-
Shareholder’s Equity(In $M),GS,"113,238","115,053","112,031"
Total Assets(In $M),GS,"1,506,148","1,550,586","1,575,055"
