,ticker,2023,2024
Revenue(In $M),AIV,905,953
Dividend,AIV,0.20,0.21
Dividend Yield (in %),AIV,2.80 %,2.89 %
EPS,AIV,-,-
P/E Ratio,AIV,-,-
EBIT(In $M),AIV,55,70
EBITDA(In $M),AIV,603,-
Net Profit(In $M),AIV,53,67
Net Profit Adjusted(In $M),AIV,63,78
Pre-Tax Profit(In $M),AIV,56,71
Net Profit (Adjusted)(In $M),AIV,-,-
EPS (Non-GAAP) ex. SOE(In $),AIV,-,-
EPS (GAAP)(In $),AIV,-,-
Gross Income(In $M),AIV,605,637
Cash Flow from Investing(In $M),AIV,-,-
Cash Flow from Operations(In $M),AIV,-,-
Cash Flow from Financing(In $M),AIV,-,-
Cash Flow per Share(In $),AIV,-,-
Free Cash Flow(In $M),AIV,-,-
Free Cash Flow per Share(In $),AIV,-,-
Book Value per Share(In $),AIV,-,-
Net Debt(In $M),AIV,-,-
Research & Development Exp.(In $M),AIV,-,-
Capital Expenditure(In $M),AIV,-,-
"Selling, General & Admin. Exp.(In $M)",AIV,-,-
Shareholder’s Equity(In $M),AIV,-,-
Total Assets(In $M),AIV,-,-
