,ttm,2022-11-30,2021-11-30,2020-11-30,2019-11-30,ticker
Net income(figures in $M),-4895.0,-6093.0,-9501.0,-10236.0,2990.0,CCL
Depreciation & amortisation(figures in $M),2303.0,2275.0,2233.0,2241.0,2160.0,CCL
Stock-based compensation(figures in $M),84.0,101.0,121.0,105.0,46.0,CCL
Change in working capital(figures in $M),1560.0,1163.0,958.0,-3186.0,212.0,CCL
Inventory(figures in $M),-77.0,-95.0,-63.0,77.0,79.0,CCL
Accounts payable(figures in $M),272.0,283.0,206.0,-165.0,34.0,CCL
Other working capital(figures in $M),-3355.0,-6610.0,-7716.0,-9921.0,46.0,CCL
Other non-cash items(figures in $M),377.0,375.0,449.0,170.0,41.0,CCL
Net cash provided by operating activities(figures in $M),-70.0,-1670.0,-4109.0,-6301.0,5475.0,CCL
"Investments in property, plant and equipment(figures in $M)",-3285.0,-4940.0,-3607.0,-3620.0,-5429.0,CCL
"Acquisitions, net(figures in $M)",0.0,-1.0,-90.0,-81.0,0.0,CCL
Purchases of investments(figures in $M),0.0,-315.0,-2873.0,0.0,-6.0,CCL
Sales/maturities of investments(figures in $M),0.0,515.0,2676.0,127.0,0.0,CCL
Other investing activities(figures in $M),-83.0,-96.0,0.0,127.0,132.0,CCL
Net cash used for investing activities(figures in $M),-2779.0,-4767.0,-3543.0,-3240.0,-5277.0,CCL
Debt repayment(figures in $M),-2251.0,-2075.0,-5956.0,-1621.0,-1651.0,CCL
Common stock issued(figures in $M),1165.0,1180.0,1009.0,3249.0,0.0,CCL
Common stock repurchased(figures in $M),0.0,0.0,0.0,-12.0,-603.0,CCL
Dividends paid(figures in $M),0.0,0.0,0.0,-689.0,-1387.0,CCL
Other financing activities(figures in $M),-108.0,-155.0,-871.0,-149.0,-83.0,CCL
Net cash used provided by (used for) financing activities(figures in $M),1959.0,3577.0,6948.0,18649.0,-654.0,CCL
Net change in cash(figures in $M),-962.0,-2940.0,-715.0,9161.0,-465.0,CCL
Cash at beginning of period(figures in $M),6452.0,8976.0,9692.0,530.0,996.0,CCL
Cash at end of period(figures in $M),5564.0,6037.0,8976.0,9692.0,530.0,CCL
Operating cash flow(figures in $M),-70.0,-1670.0,-4109.0,-6301.0,5475.0,CCL
Capital expenditure(figures in $M),-3285.0,-4940.0,-3607.0,-3620.0,-5429.0,CCL
Free cash flow(figures in $M),-3355.0,-6610.0,-7716.0,-9921.0,46.0,CCL
