,ticker,2023,2024,2025,2026,2027
Revenue(In $M),ICE,"7,613","8,043","8,504","8,892","9,360"
Dividend,ICE,1.68,1.82,2.00,2.23,-
Dividend Yield (in %),ICE,1.70 %,1.85 %,2.03 %,2.25 %,-
EPS,ICE,5.50,6.03,6.60,7.23,7.85
P/E Ratio,ICE,19.08,17.41,15.92,14.51,13.38
EBIT(In $M),ICE,"4,353","4,666","4,875","5,272","5,746"
EBITDA(In $M),ICE,"4,992","5,290","5,597","6,013","6,260"
Net Profit(In $M),ICE,"3,037","3,283","3,495","3,659","3,904"
Net Profit Adjusted(In $M),ICE,"3,040","3,291","3,512","3,659","3,904"
Pre-Tax Profit(In $M),ICE,"3,788","4,095","4,374","4,856","5,356"
Net Profit (Adjusted)(In $M),ICE,"3,385","3,739",-,-,-
EPS (Non-GAAP) ex. SOE(In $),ICE,5.50,6.03,6.60,7.23,7.85
EPS (GAAP)(In $),ICE,4.52,5.11,5.77,6.43,7.00
Gross Income(In $M),ICE,"7,539","7,958",-,-,-
Cash Flow from Investing(In $M),ICE,-464,-486,-,-,-
Cash Flow from Operations(In $M),ICE,"3,861","4,186","4,455","4,628","4,876"
Cash Flow from Financing(In $M),ICE,-,-,-,-,-
Cash Flow per Share(In $),ICE,7.34,8.04,8.73,-,-
Free Cash Flow(In $M),ICE,"3,390","3,660","3,896","4,042","4,260"
Free Cash Flow per Share(In $),ICE,5.78,6.50,7.07,-,-
Book Value per Share(In $),ICE,41.61,43.71,45.40,-,-
Net Debt(In $M),ICE,"16,124","15,208","12,486","6,185",-
Research & Development Exp.(In $M),ICE,715,751,799,-,-
Capital Expenditure(In $M),ICE,476,496,527,551,615
"Selling, General & Admin. Exp.(In $M)",ICE,246,263,316,-,-
Shareholder’s Equity(In $M),ICE,"21,387","22,837","22,531",-,-
Total Assets(In $M),ICE,"194,333","197,426","211,344",-,-
