,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),ICE,9636.0,9636.0,9168.0,8244.0,6547.0
Cost of revenue(figures in $M),ICE,4434.0,4434.0,4150.0,3945.0,2856.0
Gross profit(figures in $M),ICE,5202.0,5202.0,5018.0,4299.0,3691.0
Selling general and administrative(figures in $M),ICE,440.0,440.0,458.0,410.0,354.0
Total operating expenses(figures in $M),ICE,1471.0,1471.0,1467.0,1161.0,1016.0
Operating income or loss(figures in $M),ICE,3731.0,3731.0,3551.0,3138.0,2675.0
Interest expense(figures in $M),ICE,616.0,616.0,423.0,357.0,285.0
Total other income/expenses net(figures in $M),ICE,-1415.0,-1415.0,2569.0,-25.0,56.0
Income before tax(figures in $M),ICE,1808.0,1808.0,5698.0,2766.0,2481.0
Income tax expense(figures in $M),ICE,310.0,310.0,1629.0,658.0,521.0
Income from continuing operations(figures in $M),ICE,1498.0,1498.0,4069.0,2108.0,1960.0
Net income(figures in $M),ICE,1446.0,1446.0,4058.0,2089.0,1933.0
Net income available to common shareholders(figures in $M),ICE,1446.0,1446.0,4058.0,2089.0,1933.0
Basic EPS(figures in $M),ICE,,2.5899999999999998e-06,7.2199999999999995e-06,3.79e-06,3.44e-06
Diluted EPS(figures in $M),ICE,,2.58e-06,7.18e-06,3.77e-06,3.42e-06
Basic average shares(figures in $M),ICE,,559.0,562.0,552.0,561.0
Diluted average shares(figures in $M),ICE,,561.0,565.0,555.0,565.0
EBITDA(figures in $M),ICE,,3455.0,7130.0,3874.0,3428.0
