,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),NEM,11915.0,11915.0,12222.0,11497.0,9740.0
Cost of revenue(figures in $M),NEM,8653.0,8653.0,7758.0,7314.0,7155.0
Gross profit(figures in $M),NEM,3262.0,3262.0,4464.0,4183.0,2585.0
Research development(figures in $M),NEM,229.0,229.0,154.0,122.0,150.0
Selling general and administrative(figures in $M),NEM,276.0,276.0,259.0,269.0,313.0
Total operating expenses(figures in $M),NEM,1657.0,1657.0,2476.0,1122.0,1008.0
Operating income or loss(figures in $M),NEM,1605.0,1605.0,1988.0,3061.0,1577.0
Interest expense(figures in $M),NEM,227.0,227.0,274.0,308.0,301.0
Total other income/expenses net(figures in $M),NEM,-1507.0,-1429.0,-606.0,390.0,2417.0
Income before tax(figures in $M),NEM,-51.0,-51.0,1108.0,3143.0,3693.0
Income tax expense(figures in $M),NEM,455.0,455.0,1098.0,704.0,832.0
Income from continuing operations(figures in $M),NEM,-399.0,-399.0,176.0,2628.0,2956.0
Net income(figures in $M),NEM,-429.0,-429.0,1166.0,2829.0,2805.0
Net income available to common shareholders(figures in $M),NEM,-429.0,-429.0,1166.0,2829.0,2805.0
Basic EPS(figures in $M),NEM,,-5.4e-07,1.46e-06,3.52e-06,3.82e-06
Diluted EPS(figures in $M),NEM,,-5.4e-07,1.46e-06,3.51e-06,3.81e-06
Basic average shares(figures in $M),NEM,,794.0,799.0,804.0,735.0
Diluted average shares(figures in $M),NEM,,795.0,801.0,806.0,737.0
EBITDA(figures in $M),NEM,,2361.0,3705.0,5751.0,5954.0
