,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NEM,"12,521","12,989","12,991","13,440","12,295"
Dividend,NEM,1.56,1.57,1.59,1.80,-
Dividend Yield (in %),NEM,4.05 %,3.76 %,3.89 %,-,-
EPS,NEM,2.30,2.60,2.57,2.84,2.50
P/E Ratio,NEM,21.55,19.04,19.27,17.43,19.84
EBIT(In $M),NEM,"2,769","3,282","3,190","3,549","2,765"
EBITDA(In $M),NEM,"5,170","5,716","5,726","6,039","5,260"
Net Profit(In $M),NEM,"1,810","2,100","2,049","2,469","1,819"
Net Profit Adjusted(In $M),NEM,"1,741","2,071","1,969","2,569",-
Pre-Tax Profit(In $M),NEM,"2,642","3,122","3,074","3,692","2,509"
Net Profit (Adjusted)(In $M),NEM,"2,501","1,732","1,704",-,-
EPS (Non-GAAP) ex. SOE(In $),NEM,2.30,2.60,2.57,2.84,2.50
EPS (GAAP)(In $),NEM,2.22,2.68,2.64,2.86,2.29
Gross Income(In $M),NEM,"6,070","6,048","6,275",-,-
Cash Flow from Investing(In $M),NEM,"-2,394","-2,379","-2,136","-1,830","-2,079"
Cash Flow from Operations(In $M),NEM,"4,162","4,475","4,564","4,844","4,475"
Cash Flow from Financing(In $M),NEM,-518,-743,-701,"-1,310","-1,274"
Cash Flow per Share(In $),NEM,5.34,5.63,5.66,5.89,5.48
Free Cash Flow(In $M),NEM,"1,449","1,782","2,256","2,999","2,396"
Free Cash Flow per Share(In $),NEM,1.89,2.23,2.30,2.86,3.02
Book Value per Share(In $),NEM,25.19,26.27,27.24,-,-
Net Debt(In $M),NEM,"2,580","1,653",784,727,-
Research & Development Exp.(In $M),NEM,500,0,0,-,-
Capital Expenditure(In $M),NEM,"2,504","2,384","2,145","2,058","1,660"
"Selling, General & Admin. Exp.(In $M)",NEM,282,282,281,-,-
Shareholder’s Equity(In $M),NEM,"20,162","20,972","21,493","21,980","22,165"
Total Assets(In $M),NEM,"38,717","39,534","39,864","41,416","43,716"
