,ticker,2023,2024,2025,2026
Revenue(In $M),AMP,"15,485","16,317","17,421","17,828"
Dividend,AMP,5.30,5.68,5.93,7.02
Dividend Yield (in %),AMP,1.76 %,1.87 %,1.95 %,2.40 %
EPS,AMP,30.35,33.28,37.50,42.75
P/E Ratio,AMP,9.53,8.69,7.71,6.77
EBIT(In $M),AMP,"3,260","3,338","4,795",-
EBITDA(In $M),AMP,"4,553","4,744","5,195",-
Net Profit(In $M),AMP,"3,274","3,408","3,678","3,861"
Net Profit Adjusted(In $M),AMP,"3,274","3,408","3,678","3,861"
Pre-Tax Profit(In $M),AMP,"4,096","4,247","4,644","4,887"
Net Profit (Adjusted)(In $M),AMP,"4,131","4,353",-,-
EPS (Non-GAAP) ex. SOE(In $),AMP,30.35,33.28,37.50,42.75
EPS (GAAP)(In $),AMP,26.49,31.33,30.54,42.75
Gross Income(In $M),AMP,-,-,-,-
Cash Flow from Investing(In $M),AMP,-,-,-,-
Cash Flow from Operations(In $M),AMP,"4,131","4,353",-,-
Cash Flow from Financing(In $M),AMP,-,-,-,-
Cash Flow per Share(In $),AMP,38.31,42.25,-,-
Free Cash Flow(In $M),AMP,"2,750",-,-,-
Free Cash Flow per Share(In $),AMP,25.42,-,-,-
Book Value per Share(In $),AMP,55.38,66.30,76.67,97.62
Net Debt(In $M),AMP,"-1,276","-2,205","-3,100",-
Research & Development Exp.(In $M),AMP,-,-,-,-
Capital Expenditure(In $M),AMP,-,-,-,-
"Selling, General & Admin. Exp.(In $M)",AMP,-,-,-,-
Shareholder’s Equity(In $M),AMP,"6,597","6,393","7,274",-
Total Assets(In $M),AMP,-,-,-,-
