,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31,ticker
Net income(figures in $M),-356.707,-378.678,-271.101,-117.573,-76.567,S
Depreciation & amortisation(figures in $M),22.144,29.721,7.909,2.837,1.855,S
Stock-based compensation(figures in $M),144.014,164.466,87.889,15.912,4.346,S
Change in working capital(figures in $M),-15.102,-35.368,55.639,17.673,20.228,S
Accounts receivable(figures in $M),-45.459,-44.442,-59.082,-8.32,-18.986,S
Accounts payable(figures in $M),2.205,3.67,-2.076,7.429,2.854,S
Other working capital(figures in $M),-193.929,-212.099,-105.882,-72.835,-47.277,S
Other non-cash items(figures in $M),28.848,38.789,24.076,14.581,5.714,S
Net cash provided by operating activities(figures in $M),-176.803,-193.287,-95.588,-66.57,-44.424,S
"Investments in property, plant and equipment(figures in $M)",-17.126,-18.812,-10.294,-6.265,-2.853,S
"Acquisitions, net(figures in $M)",-281.032,-281.032,-3.449,0.0,0.0,S
Purchases of investments(figures in $M),-1734.162,-1938.007,-6.0,0.0,-0.334,S
Sales/maturities of investments(figures in $M),925.185,925.185,0.0,0.0,0.0,S
Net cash used for investing activities(figures in $M),-1253.765,-1312.666,-19.743,-6.265,-3.187,S
Debt repayment(figures in $M),0.0,0.0,-20.0,-20.0,0.0,S
Common stock issued(figures in $M),0.0,0.0,1388.562,0.0,0.0,S
Other financing activities(figures in $M),-0.186,-0.186,-7.416,0.0,0.0,S
Net cash used provided by (used for) financing activities(figures in $M),37.126,36.308,1387.124,423.978,52.77,S
Net change in cash(figures in $M),-1393.442,-1469.645,1272.939,351.432,5.195,S
Cash at beginning of period(figures in $M),1668.061,1672.051,399.112,47.68,42.485,S
Cash at end of period(figures in $M),274.619,202.406,1672.051,399.112,47.68,S
Operating cash flow(figures in $M),-176.803,-193.287,-95.588,-66.57,-44.424,S
Capital expenditure(figures in $M),-17.126,-18.812,-10.294,-6.265,-2.853,S
Free cash flow(figures in $M),-193.929,-212.099,-105.882,-72.835,-47.277,S
