,ticker,2023,2024,2025,2026,2027
Revenue(In $M),S,421,639,909,"1,202","1,959"
Dividend,S,0.00,0.00,0.00,0.00,-
Dividend Yield (in %),S,-,-,-,-,-
EPS,S,-0.72,-0.50,0.00,0.31,-
P/E Ratio,S,-21.52,-31.21,"-16,884.53",50.38,-
EBIT(In $M),S,-214,-172,-23,77,266
EBITDA(In $M),S,-184,-136,4,165,-
Net Profit(In $M),S,-316,-142,2,117,-
Net Profit Adjusted(In $M),S,-201,-142,4,118,-
Pre-Tax Profit(In $M),S,-200,-137,5,114,-
Net Profit (Adjusted)(In $M),S,-386,-382,-285,-,-
EPS (Non-GAAP) ex. SOE(In $),S,-0.72,-0.50,0.00,0.31,-
EPS (GAAP)(In $),S,-1.36,-1.36,-1.06,-0.70,-
Gross Income(In $M),S,299,470,683,995,"1,503"
Cash Flow from Investing(In $M),S,"-1,321",6,-30,40,-
Cash Flow from Operations(In $M),S,-171,-52,74,268,-
Cash Flow from Financing(In $M),S,19,1,11,0,-
Cash Flow per Share(In $),S,-0.64,-,0.21,0.53,-
Free Cash Flow(In $M),S,-202,-87,35,249,339
Free Cash Flow per Share(In $),S,-0.70,-0.18,0.15,-,-
Book Value per Share(In $),S,5.80,-,4.69,4.82,-
Net Debt(In $M),S,-754,-652,-817,-752,-
Research & Development Exp.(In $M),S,-,195,222,242,565
Capital Expenditure(In $M),S,10,11,13,11,-
"Selling, General & Admin. Exp.(In $M)",S,545,589,677,884,-
Shareholder’s Equity(In $M),S,"1,641","1,513","1,529","1,553",-
Total Assets(In $M),S,"2,306","2,362","2,606","3,236",-
