,2022,2021,2020,2019,2018,ticker
Current ratio,1.644,2.061,3.562,2.826,1.265,ROK
Quick ratio,1.116,1.491,2.742,2.248,0.939,ROK
Cash ratio,0.246,0.473,0.989,1.023,0.277,ROK
Days of sales outstanding,81.683,74.305,72.028,64.263,65.164,ROK
Days of inventory outstanding,82.600,71.056,57.077,55.375,55.956,ROK
Operating cycle,164.283,145.361,129.105,119.637,121.120,ROK
Days of payables outstanding,80.547,79.220,67.222,66.811,88.513,ROK
Cash conversion cycle,83.736,66.141,61.883,52.826,32.607,ROK
Gross profit margin,0.400,0.414,0.410,0.433,0.431,ROK
Operating profit margin,0.172,0.175,0.172,0.149,0.191,ROK
Pretax profit margin,0.138,0.218,0.179,0.135,0.200,ROK
Net profit margin,0.118,0.194,0.162,0.104,0.080,ROK
Effective tax rate,0.144,0.119,0.099,0.228,0.598,ROK
Return on assets,0.085,0.127,0.141,0.114,0.086,ROK
Return on equity,0.337,0.568,1.444,1.721,0.331,ROK
Return on capital employed,0.152,0.132,0.166,0.195,0.316,ROK
Net income per EBT,0.856,0.890,0.901,0.772,0.402,ROK
Ebt per ebit,0.805,1.248,1.046,0.902,1.045,ROK
Ebit per revenue,0.172,0.175,0.172,0.149,0.191,ROK
Debt ratio,0.720,0.748,0.859,0.934,0.742,ROK
Debt equity ratio,1.504,1.794,3.208,5.584,1.098,ROK
Long term debt to capitalization,0.535,0.613,0.760,0.829,0.431,ROK
Total debt to capitalization,0.601,0.642,0.762,0.848,0.523,ROK
Interest coverage,10.825,12.932,10.490,10.175,17.441,ROK
Cash flow to debt ratio,0.201,0.294,0.493,0.524,0.732,ROK
Company equity multiplier,3.947,4.478,10.249,15.124,3.871,ROK
Receivables turnover,4.468,4.912,5.067,5.680,5.601,ROK
Payables turnover,4.532,4.607,5.430,5.463,4.124,ROK
Inventory turnover,4.419,5.137,6.395,6.591,6.523,ROK
Fixed asset turnover,8.551,7.292,6.900,11.706,11.557,ROK
Asset turnover,0.721,0.654,0.871,1.095,1.065,ROK
Operating cash flow per share,7.102,10.871,9.676,10.216,10.735,ROK
Free cash flow per share,5.884,9.834,8.693,9.068,9.699,ROK
Cash per share,4.234,5.709,6.085,9.144,7.512,ROK
Payout ratio,0.565,0.366,0.462,0.661,0.823,ROK
Operating cash flow sales ratio,0.106,0.180,0.177,0.177,0.195,ROK
Free cash flow operating cash flow ratio,0.829,0.905,0.898,0.888,0.903,ROK
Cash flow coverage ratios,0.201,0.294,0.493,0.524,0.732,ROK
Short term coverage ratios,0.850,2.474,45.549,3.933,2.359,ROK
Capital expenditure coverage ratio,-5.833,-10.482,-9.838,-8.901,-10.359,ROK
Dividend paid and capex coverage ratio,2.176,3.347,3.122,3.615,4.123,ROK
Dividend payout ratio,0.565,0.366,0.462,0.661,0.823,ROK
Price book value ratio,9.147,14.274,36.054,47.173,14.076,ROK
Price to book ratio,9.147,14.274,36.054,47.173,14.076,ROK
Price to sales ratio,3.213,4.874,4.037,2.848,3.416,ROK
Price earnings ratio,27.126,25.115,24.975,27.404,42.517,ROK
Price to free cash flows ratio,36.556,29.901,25.387,18.173,19.385,ROK
Price to operating cash flows ratio,30.289,27.049,22.807,16.131,17.514,ROK
Price cash flow ratio,30.289,27.049,22.807,16.131,17.514,ROK
Price earnings to growth ratio,-0.864,0.775,0.532,0.763,-1.361,ROK
Price sales ratio,3.213,4.874,4.037,2.848,3.416,ROK
Dividend yield,0.021,0.015,0.019,0.024,0.019,ROK
Enterprise value multiple,18.148,26.701,21.554,17.636,15.255,ROK
Price fair value,9.147,14.274,36.054,47.173,14.076,ROK
