,ticker,2023,2024,2025,2026
Revenue(In $M),ROK,"8,856","9,324","9,712","10,279"
Dividend,ROK,4.72,5.03,4.58,-
Dividend Yield (in %),ROK,1.61 %,1.72 %,1.85 %,-
EPS,ROK,11.82,12.84,13.78,15.21
P/E Ratio,ROK,23.63,21.75,20.25,18.36
EBIT(In $M),ROK,"1,714","1,806","1,943","2,120"
EBITDA(In $M),ROK,"1,959","2,079","2,210","2,316"
Net Profit(In $M),ROK,"1,376","1,413","1,500","1,607"
Net Profit Adjusted(In $M),ROK,"1,373","1,454","1,546","1,706"
Pre-Tax Profit(In $M),ROK,"1,655","1,717","1,827","1,987"
Net Profit (Adjusted)(In $M),ROK,"1,660","1,647","1,749",-
EPS (Non-GAAP) ex. SOE(In $),ROK,11.82,12.84,13.78,15.21
EPS (GAAP)(In $),ROK,11.98,12.08,13.01,14.55
Gross Income(In $M),ROK,"3,646","3,915","4,070","4,400"
Cash Flow from Investing(In $M),ROK,-162,-173,-190,-201
Cash Flow from Operations(In $M),ROK,"1,460","1,609","1,754","1,876"
Cash Flow from Financing(In $M),ROK,-816,-875,-964,"-1,081"
Cash Flow per Share(In $),ROK,13.07,14.28,15.18,-
Free Cash Flow(In $M),ROK,"1,213","1,381","1,587","1,703"
Free Cash Flow per Share(In $),ROK,10.80,12.73,14.62,15.95
Book Value per Share(In $),ROK,31.13,36.50,43.11,-
Net Debt(In $M),ROK,"2,820","2,217","1,486",496
Research & Development Exp.(In $M),ROK,-,-,-,-
Capital Expenditure(In $M),ROK,180,181,192,214
"Selling, General & Admin. Exp.(In $M)",ROK,"2,017","2,123","2,237","2,311"
Shareholder’s Equity(In $M),ROK,"3,433","3,835","4,191","3,554"
Total Assets(In $M),ROK,"11,604","12,140","12,689","13,418"
