,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MCK,"275,914","286,784","302,205","323,369","344,312"
Dividend,MCK,2.08,2.22,2.36,-,-
Dividend Yield (in %),MCK,0.62 %,0.66 %,0.70 %,-,-
EPS,MCK,25.96,26.33,29.79,33.17,38.26
P/E Ratio,MCK,13.70,13.50,11.93,10.72,9.29
EBIT(In $M),MCK,"4,904","4,845","5,188","5,229","5,557"
EBITDA(In $M),MCK,"5,317","5,311","5,698",-,-
Net Profit(In $M),MCK,"3,673","3,530","3,830","3,935","4,211"
Net Profit Adjusted(In $M),MCK,"3,679","3,556","3,873","3,935","4,211"
Pre-Tax Profit(In $M),MCK,"4,763","4,621","4,966","5,101","5,453"
Net Profit (Adjusted)(In $M),MCK,"4,818","4,525","4,781",-,-
EPS (Non-GAAP) ex. SOE(In $),MCK,25.96,26.33,29.79,33.17,38.26
EPS (GAAP)(In $),MCK,25.40,24.25,27.63,31.30,36.24
Gross Income(In $M),MCK,"12,712","13,027","13,751","13,435","13,969"
Cash Flow from Investing(In $M),MCK,-491,-592,-572,-,-
Cash Flow from Operations(In $M),MCK,"4,028","4,356","4,646","5,030","5,387"
Cash Flow from Financing(In $M),MCK,"-2,005","-2,450","-1,525",-400,-500
Cash Flow per Share(In $),MCK,30.02,33.01,36.60,-,-
Free Cash Flow(In $M),MCK,"3,480","3,888","4,098","4,380","4,704"
Free Cash Flow per Share(In $),MCK,24.50,26.68,30.74,-,-
Book Value per Share(In $),MCK,-11.20,-2.78,13.11,-,-
Net Debt(In $M),MCK,"2,755","2,562","1,057",-,-
Research & Development Exp.(In $M),MCK,-,-,-,-,-
Capital Expenditure(In $M),MCK,375,582,531,650,683
"Selling, General & Admin. Exp.(In $M)",MCK,"8,273","8,626","8,946",-,-
Shareholder’s Equity(In $M),MCK,"-1,496","-1,097",-121,-199,-795
Total Assets(In $M),MCK,"63,927","65,701","68,086","69,876","72,079"
