,ticker,2023,2024,2025,2026,2027
Revenue(In $M),BDX,"19,232","20,365","21,559","23,099","24,178"
Dividend,BDX,4.06,4.30,4.79,-,-
Dividend Yield (in %),BDX,1.74 %,1.85 %,2.06 %,-,-
EPS,BDX,12.21,13.61,15.06,16.37,17.45
P/E Ratio,BDX,20.69,18.57,16.78,15.44,14.48
EBIT(In $M),BDX,"4,558","4,978","5,406","5,875","6,223"
EBITDA(In $M),BDX,"5,358","5,784","6,428","7,443",-
Net Profit(In $M),BDX,"3,503","3,944","4,347","4,750","5,057"
Net Profit Adjusted(In $M),BDX,"3,503","3,944","4,347","4,750","5,057"
Pre-Tax Profit(In $M),BDX,"4,104","4,587","5,052","5,499","5,863"
Net Profit (Adjusted)(In $M),BDX,"4,140","4,564","4,939",-,-
EPS (Non-GAAP) ex. SOE(In $),BDX,12.21,13.62,14.98,16.09,-
EPS (GAAP)(In $),BDX,8.57,10.18,13.24,-,-
Gross Income(In $M),BDX,"10,359","11,032","11,865","12,875","13,343"
Cash Flow from Investing(In $M),BDX,"-1,090","-1,105","-1,121",-,-
Cash Flow from Operations(In $M),BDX,"4,118","4,578","4,883",-,-
Cash Flow from Financing(In $M),BDX,"-2,403","-3,040","-3,497",-,-
Cash Flow per Share(In $),BDX,18.15,19.50,18.31,-,-
Free Cash Flow(In $M),BDX,"3,627","4,416","4,839",-,-
Free Cash Flow per Share(In $),BDX,-,-,-,-,-
Book Value per Share(In $),BDX,87.49,91.04,95.18,-,-
Net Debt(In $M),BDX,"13,681","11,371","9,071",-,-
Research & Development Exp.(In $M),BDX,"1,168","1,228","1,295","1,380","1,439"
Capital Expenditure(In $M),BDX,"1,001","1,016","1,032",-,-
"Selling, General & Admin. Exp.(In $M)",BDX,"4,669","4,841","5,156","5,620","5,682"
Shareholder’s Equity(In $M),BDX,"24,458","25,035","25,629",-,-
Total Assets(In $M),BDX,"52,579","52,409","52,183",-,-
