,2022,2021,2020,2019,2018,ticker
Current ratio,1.042,1.334,1.540,1.187,1.027,BDX
Quick ratio,0.410,0.723,0.900,0.518,0.482,BDX
Cash ratio,0.129,0.345,0.485,0.096,0.158,BDX
Days of sales outstanding,42.380,45.012,51.135,49.293,52.958,BDX
Days of inventory outstanding,113.226,96.672,104.947,104.570,102.582,BDX
Operating cycle,155.606,141.684,156.082,153.862,155.540,BDX
Days of payables outstanding,59.669,60.479,51.842,44.277,46.289,BDX
Cash conversion cycle,95.938,81.205,104.239,109.586,109.251,BDX
Gross profit margin,0.449,0.466,0.443,0.479,0.454,BDX
Operating profit margin,0.121,0.138,0.087,0.102,0.094,BDX
Pretax profit margin,0.094,0.111,0.058,0.067,0.073,BDX
Net profit margin,0.094,0.103,0.051,0.071,0.019,BDX
Effective tax rate,0.083,0.067,0.113,-0.049,0.735,BDX
Return on assets,0.034,0.039,0.016,0.024,0.006,BDX
Return on equity,0.070,0.088,0.037,0.058,0.015,BDX
Return on capital employed,0.051,0.059,0.031,0.038,0.032,BDX
Net income per EBT,0.998,0.933,0.887,1.049,0.265,BDX
Ebt per ebit,0.781,0.801,0.664,0.661,0.784,BDX
Ebit per revenue,0.121,0.138,0.087,0.102,0.094,BDX
Debt ratio,0.522,0.560,0.560,0.592,0.611,BDX
Debt equity ratio,0.635,0.744,0.754,0.916,1.024,BDX
Long term debt to capitalization,0.354,0.419,0.420,0.461,0.474,BDX
Total debt to capitalization,0.388,0.427,0.430,0.478,0.506,BDX
Interest coverage,5.734,5.968,2.811,2.754,2.120,BDX
Cash flow to debt ratio,0.164,0.264,0.197,0.172,0.133,BDX
Company equity multiplier,2.092,2.275,2.272,2.448,2.568,BDX
Receivables turnover,8.613,8.109,7.138,7.405,6.892,BDX
Payables turnover,6.117,6.035,7.041,8.244,7.885,BDX
Inventory turnover,3.224,3.776,3.478,3.491,3.558,BDX
Fixed asset turnover,3.139,3.167,2.890,3.055,2.974,BDX
Asset turnover,0.356,0.376,0.317,0.334,0.297,BDX
Operating cash flow per share,9.238,16.064,12.686,12.336,11.089,BDX
Free cash flow per share,5.824,11.808,9.782,8.791,7.625,BDX
Cash per share,3.558,7.933,10.198,2.097,4.478,BDX
Payout ratio,0.608,0.501,1.174,0.807,2.981,BDX
Operating cash flow sales ratio,0.140,0.230,0.207,0.193,0.179,BDX
Free cash flow operating cash flow ratio,0.630,0.735,0.771,0.713,0.688,BDX
Cash flow coverage ratios,0.164,0.264,0.197,0.172,0.133,BDX
Short term coverage ratios,1.208,9.294,5.006,2.544,1.101,BDX
Capital expenditure coverage ratio,-2.706,-3.775,-4.369,-3.480,-3.201,BDX
Dividend paid and capex coverage ratio,24.156,-25.393,16.384,123.333,89.531,BDX
Dividend payout ratio,0.608,0.501,1.174,0.807,2.981,BDX
Price book value ratio,2.510,3.003,2.730,3.224,3.253,BDX
Price to book ratio,2.510,3.003,2.730,3.224,3.253,BDX
Price to sales ratio,3.366,3.512,3.792,3.949,4.274,BDX
Price earnings ratio,35.699,33.993,74.269,55.971,219.626,BDX
Price to free cash flows ratio,38.258,20.818,23.786,28.776,34.672,BDX
Price to operating cash flows ratio,24.120,15.303,18.342,20.506,23.841,BDX
Price cash flow ratio,24.120,15.303,18.342,20.506,23.841,BDX
Price earnings to growth ratio,-2.495,0.224,-2.431,0.104,-2.530,BDX
Price sales ratio,3.366,3.512,3.792,3.949,4.274,BDX
Dividend yield,0.017,0.015,0.016,0.014,0.014,BDX
Enterprise value multiple,17.072,16.723,20.125,19.215,22.986,BDX
Price fair value,2.510,3.003,2.730,3.224,3.253,BDX
